scheme,dataset,size_bytes,p_sub,p_ins,p_del,replication,success_mean,success_std,success_ci95,byte_accuracy_mean,byte_accuracy_std,byte_accuracy_ci95,chunk_recovery_mean,chunk_recovery_std,chunk_recovery_ci95,effective_bits_per_base_mean,effective_bits_per_base_std,effective_bits_per_base_ci95,overhead_mean,overhead_std,overhead_ci95,trials
s1,random,524288,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.9523355576739754,2.2584051416334807e-16,8.081599008380939e-17,1.0244140625,0.0,0.0,30
s1,random,524288,0.0001,0.0,0.0,1,0.0,0.0,0.0,0.6679054896036783,0.02205640234898533,0.007892782214580143,0.6690104166666667,0.021831982538608165,0.007812474616817,1.3061328249126152,0.04262335580464206,0.015252571987837197,1.0244140625,0.0,0.0,30
s1,random,524288,0.0002,0.0,0.0,1,0.0,0.0,0.0,0.4389994939168294,0.024088566906826085,0.008619982962256181,0.4408203125,0.02394910155056912,0.008570075925469389,0.8606291706387034,0.04675668253152102,0.016731663961259587,1.0244140625,0.0,0.0,30
s1,random,524288,0.0005,0.0,0.0,1,0.0,0.0,0.0,0.1247402826944987,0.012634235860550328,0.004521103238740551,0.12565104166666666,0.01239870618634004,0.00443682002726303,0.24531299650460753,0.024206434956743943,0.008662161502225629,1.0244140625,0.0,0.0,30
s1,random,524288,0.001,0.0,0.0,1,0.0,0.0,0.0,0.016927083333333332,0.006595173860265281,0.002360052656038003,0.017122395833333335,0.006681371672554517,0.0023908981470209642,0.033428662217985385,0.013044279490363825,0.004667835467205849,1.0244140625,0.0,0.0,30
s2,random,524288,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.301557038449317,0.0,0.0,1.53662109375,0.0,0.0,30
s2,random,524288,0.0001,0.0,0.0,1,0.0,0.0,0.0,0.5283854166666667,0.02064913292823355,0.007389197319841264,0.528515625,0.020749962268219745,0.007425278635767544,0.6878932316491896,0.027007259437759164,0.009664423670830589,1.53662109375,0.0,0.0,30
s2,random,524288,0.0002,0.0,0.0,1,0.0,0.0,0.0,0.2887369791666667,0.0239761827464608,0.008579766806960461,0.28912760416666666,0.02380770909702077,0.00851947928577336,0.3763160682131131,0.03098709134458122,0.011088588228321478,1.53662109375,0.0,0.0,30
s2,random,524288,0.0005,0.0,0.0,1,0.0,0.0,0.0,0.041796875,0.008295926730828561,0.0029686592545114625,0.04186197916666667,0.008328894825297391,0.0029804567356035744,0.054485753627793655,0.010840531682369913,0.0038792344420185074,1.53662109375,0.0,0.0,30
s2,random,524288,0.001,0.0,0.0,1,0.0,0.0,0.0,0.0016927083333333334,0.002034493983446046,0.0007280343219234017,0.0016927083333333334,0.002034493983446046,0.0007280343219234017,0.0022031564452918125,0.0026480099638369896,0.0009475781959320794,1.53662109375,0.0,0.0,30
s3,random,524288,0.0,0.0,0.0,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.30126507796410706,0.0,0.0,6.638671875,0.0,0.0,30
s3,random,524288,0.0001,0.0,0.0,3,0.0,0.0,0.0,0.8899088541666667,0.013041414678759572,0.0046668103075392636,0.8906901041666667,0.012745552255281671,0.004560937299011362,0.2683338236736295,0.0038397897938830324,0.0013740511309760614,6.638671875,0.0,0.0,30
s3,random,524288,0.0002,0.0,0.0,3,0.0,0.0,0.0,0.6170578002929688,0.02075176921423496,0.0074259252430947924,0.6180989583333333,0.0204249553423343,0.007308976400994337,0.18621163087182507,0.00615332576362175,0.0022019393452833787,6.638671875,0.0,0.0,30
s3,random,524288,0.0005,0.0,0.0,3,0.0,0.0,0.0,0.11263027191162109,0.014291179061610263,0.005114032748321109,0.11315104166666666,0.014111554368127787,0.005049754877270978,0.034088457389428256,0.004251318526908753,0.001521314796800671,6.638671875,0.0,0.0,30
s3,random,524288,0.001,0.0,0.0,3,0.0,0.0,0.0,0.005533854166666667,0.0035194892157143277,0.0012594330411040298,0.005533854166666667,0.0035194892157143277,0.0012594330411040298,0.001667157006962832,0.001060299192966011,0.000379423193318778,6.638671875,0.0,0.0,30
