scheme,p_sub,p_ins,p_del,success_mean,effective_bits_per_base_mean,overhead_mean,trials
s1,0.0,0.0,0.0,1.0,1.9523355576739756,1.0244140625,30
s1,0.0001,0.0,0.0,0.0,1.3061328249126152,1.0244140625,30
s1,0.0002,0.0,0.0,0.0,0.8606291706387034,1.0244140625,30
s1,0.0005,0.0,0.0,0.0,0.2453129965046075,1.0244140625,30
s1,0.001,0.0,0.0,0.0,0.0334286622179853,1.0244140625,30
s2,0.0,0.0,0.0,1.0,1.301557038449317,1.53662109375,30
s2,0.0001,0.0,0.0,0.0,0.6878932316491896,1.53662109375,30
s2,0.0002,0.0,0.0,0.0,0.3763160682131131,1.53662109375,30
s2,0.0005,0.0,0.0,0.0,0.0544857536277936,1.53662109375,30
s2,0.001,0.0,0.0,0.0,0.0022031564452918,1.53662109375,30
s3,0.0,0.0,0.0,1.0,0.301265077964107,6.638671875,30
s3,0.0001,0.0,0.0,0.0,0.2683338236736295,6.638671875,30
s3,0.0002,0.0,0.0,0.0,0.186211630871825,6.638671875,30
s3,0.0005,0.0,0.0,0.0,0.0340884573894282,6.638671875,30
s3,0.001,0.0,0.0,0.0,0.0016671570069628,6.638671875,30
