scheme,p_sub,p_indel,trial,seed
s1,0.0,0.0,0,3458597231
s1,0.0,0.0,1,1277910808
s1,0.0,0.0,2,583549218
s1,0.0,0.0,3,2150906426
s1,0.0,0.0,4,3065260267
s1,0.0,0.0,5,25061201
s1,0.0,0.0,6,3179809515
s1,0.0,0.0,7,2919384468
s1,0.0,0.0,8,2034703751
s1,0.0,0.0,9,369560739
s1,0.0,0.0,10,1384285104
s1,0.0,0.0,11,3056933981
s1,0.0,0.0,12,2344472677
s1,0.0,0.0,13,614914697
s1,0.0,0.0,14,2854370334
s1,0.0,0.0,15,3876981505
s1,0.0,0.0,16,2205848859
s1,0.0,0.0,17,1982392317
s1,0.0,0.0,18,529443442
s1,0.0,0.0,19,139238350
s1,0.0,0.0,20,1747879658
s1,0.0,0.0,21,737901017
s1,0.0,0.0,22,153252779
s1,0.0,0.0,23,2744077323
s1,0.0,0.0,24,1712882706
s1,0.0,0.0,25,891062142
s1,0.0,0.0,26,10562893
s1,0.0,0.0,27,376236016
s1,0.0,0.0,28,3990803050
s1,0.0,0.0,29,2903036811
s1,0.0001,0.0,0,755634786
s1,0.0001,0.0,1,1892410819
s1,0.0001,0.0,2,521501763
s1,0.0001,0.0,3,3463240563
s1,0.0001,0.0,4,3739553477
s1,0.0001,0.0,5,2917740503
s1,0.0001,0.0,6,3027652505
s1,0.0001,0.0,7,3133891969
s1,0.0001,0.0,8,1933569579
s1,0.0001,0.0,9,3847877515
s1,0.0001,0.0,10,511585986
s1,0.0001,0.0,11,838548221
s1,0.0001,0.0,12,826891514
s1,0.0001,0.0,13,2273721057
s1,0.0001,0.0,14,800496378
s1,0.0001,0.0,15,2594039273
s1,0.0001,0.0,16,3228604249
s1,0.0001,0.0,17,3768719304
s1,0.0001,0.0,18,1426563526
s1,0.0001,0.0,19,1397119038
s1,0.0001,0.0,20,943559903
s1,0.0001,0.0,21,2616250860
s1,0.0001,0.0,22,642778715
s1,0.0001,0.0,23,1816732441
s1,0.0001,0.0,24,3910762336
s1,0.0001,0.0,25,697846182
s1,0.0001,0.0,26,4124984264
s1,0.0001,0.0,27,1043640868
s1,0.0001,0.0,28,3581397074
s1,0.0001,0.0,29,3068565016
s1,0.0002,0.0,0,680343048
s1,0.0002,0.0,1,33290120
s1,0.0002,0.0,2,4095855747
s1,0.0002,0.0,3,3258068644
s1,0.0002,0.0,4,3622454747
s1,0.0002,0.0,5,3812486803
s1,0.0002,0.0,6,2032802336
s1,0.0002,0.0,7,2419167117
s1,0.0002,0.0,8,2111192109
s1,0.0002,0.0,9,1030879894
s1,0.0002,0.0,10,4253582316
s1,0.0002,0.0,11,4155970386
s1,0.0002,0.0,12,750051342
s1,0.0002,0.0,13,3082924149
s1,0.0002,0.0,14,1307641823
s1,0.0002,0.0,15,2685480595
s1,0.0002,0.0,16,3660445266
s1,0.0002,0.0,17,2376352582
s1,0.0002,0.0,18,325933760
s1,0.0002,0.0,19,2186195378
s1,0.0002,0.0,20,598339741
s1,0.0002,0.0,21,2157189988
s1,0.0002,0.0,22,2487300123
s1,0.0002,0.0,23,2614559195
s1,0.0002,0.0,24,2480921622
s1,0.0002,0.0,25,3183815545
s1,0.0002,0.0,26,2672581983
s1,0.0002,0.0,27,2547693548
s1,0.0002,0.0,28,3489867955
s1,0.0002,0.0,29,3982325208
s1,0.0005,0.0,0,2839953338
s1,0.0005,0.0,1,4041995252
s1,0.0005,0.0,2,3792723229
s1,0.0005,0.0,3,2944929190
s1,0.0005,0.0,4,4222229549
s1,0.0005,0.0,5,1564331543
s1,0.0005,0.0,6,158546678
s1,0.0005,0.0,7,3616762256
s1,0.0005,0.0,8,2719279277
s1,0.0005,0.0,9,2260502005
s1,0.0005,0.0,10,1926390371
s1,0.0005,0.0,11,2782827374
s1,0.0005,0.0,12,1440118426
s1,0.0005,0.0,13,3563039120
s1,0.0005,0.0,14,3981663652
s1,0.0005,0.0,15,273824277
s1,0.0005,0.0,16,856009506
s1,0.0005,0.0,17,1970118999
s1,0.0005,0.0,18,1830631235
s1,0.0005,0.0,19,3545620825
s1,0.0005,0.0,20,762027239
s1,0.0005,0.0,21,3782641574
s1,0.0005,0.0,22,2599304320
s1,0.0005,0.0,23,2150187845
s1,0.0005,0.0,24,159712373
s1,0.0005,0.0,25,418483375
s1,0.0005,0.0,26,1477879107
s1,0.0005,0.0,27,1964049625
s1,0.0005,0.0,28,387300824
s1,0.0005,0.0,29,3675512365
s1,0.001,0.0,0,855501072
s1,0.001,0.0,1,3517021474
s1,0.001,0.0,2,1950666169
s1,0.001,0.0,3,473272635
s1,0.001,0.0,4,589040926
s1,0.001,0.0,5,1932634312
s1,0.001,0.0,6,568017843
s1,0.001,0.0,7,3564093248
s1,0.001,0.0,8,1700700725
s1,0.001,0.0,9,2270597310
s1,0.001,0.0,10,2527850463
s1,0.001,0.0,11,3596915164
s1,0.001,0.0,12,3140535735
s1,0.001,0.0,13,1523083811
s1,0.001,0.0,14,3985536776
s1,0.001,0.0,15,2265133406
s1,0.001,0.0,16,450893443
s1,0.001,0.0,17,2651332733
s1,0.001,0.0,18,1696916963
s1,0.001,0.0,19,3712788840
s1,0.001,0.0,20,915999119
s1,0.001,0.0,21,874762519
s1,0.001,0.0,22,3043243991
s1,0.001,0.0,23,2736961952
s1,0.001,0.0,24,595788588
s1,0.001,0.0,25,3849028150
s1,0.001,0.0,26,135499686
s1,0.001,0.0,27,1547904109
s1,0.001,0.0,28,2040782854
s1,0.001,0.0,29,119310524
s2,0.0,0.0,0,651271097
s2,0.0,0.0,1,2511418083
s2,0.0,0.0,2,2636821047
s2,0.0,0.0,3,1106065731
s2,0.0,0.0,4,2522222868
s2,0.0,0.0,5,2080584190
s2,0.0,0.0,6,3421561684
s2,0.0,0.0,7,416259715
s2,0.0,0.0,8,3918565244
s2,0.0,0.0,9,1532417215
s2,0.0,0.0,10,3959571045
s2,0.0,0.0,11,656568397
s2,0.0,0.0,12,3421163690
s2,0.0,0.0,13,3729837381
s2,0.0,0.0,14,2917814717
s2,0.0,0.0,15,942513494
s2,0.0,0.0,16,3182012510
s2,0.0,0.0,17,683581188
s2,0.0,0.0,18,3256332056
s2,0.0,0.0,19,979979227
s2,0.0,0.0,20,1528841955
