scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s2,random,524288,0,0.0001,0.0,0.0,1,0,0.5234375,0.5234375,274432,512,268,3222528,0.6812837623133142,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,43bf0b0546294291fdfb074cf7768dd5ac9374d55c61728a9bdbd780f84817b8,244
s2,random,524288,1,0.0001,0.0,0.0,1,0,0.513671875,0.513671875,269312,512,263,3222528,0.6685732443597077,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,4662e963d9316231d14606ed160d6f0529328e1ac6f9f2f099d74c7cf8478091,249
s2,random,524288,2,0.0001,0.0,0.0,1,0,0.498046875,0.498046875,261120,512,255,3222528,0.6482364156339371,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,5959d546044d84a3050e15af9a54f63b0b70c1b760d35610c1f420cbd9423be4,257
s2,random,524288,3,0.0001,0.0,0.0,1,0,0.50390625,0.50390625,264192,512,258,3222528,0.655862726406101,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0534ab313ea070f9ef1c2437f3dd4cb322da63d3e2eb7ffeb92e495590c9fb7a,254
s2,random,524288,4,0.0001,0.0,0.0,1,0,0.505859375,0.505859375,265216,512,259,3222528,0.6584048299968224,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,b8a2b757ff45df39ad42321bd830f5ec44e2c1f793ef10a633e542b622e9bd75,253
s2,random,524288,5,0.0001,0.0,0.0,1,0,0.517578125,0.517578125,271360,512,265,3222528,0.6736574515411503,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,fa549e437361331c78f17a87e518b432b8c6c3ecb9c5efcd3112e94dd0aad7c8,247
s2,random,524288,6,0.0001,0.0,0.0,1,0,0.5078125,0.5078125,266240,512,260,3222528,0.6609469335875436,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,89f3edd68e985062a969a7f56323dd1ab2d245a5669bb8d031ca1653dec6bb54,252
s2,random,524288,7,0.0001,0.0,0.0,1,0,0.564453125,0.564453125,295936,512,289,3222528,0.7346679377184621,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8421e884ec841c7d8f00f868b6ff8852f8df47d1efbdd6a4f0aed81868ce61fe,223
s2,random,524288,8,0.0001,0.0,0.0,1,0,0.51953125,0.51953125,272384,512,266,3222528,0.6761995551318716,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,79fe02fa5ed7e534aa0b670184ff8e4a8a7273614ae9c6f1d075bd675561ce2a,246
s2,random,524288,9,0.0001,0.0,0.0,1,0,0.515625,0.515625,270336,512,264,3222528,0.6711153479504289,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,9c6ce9ae2b41cfe189c40edd1b6038e6d0646f655d9a01c485b8959ef9c79f83,248
s2,random,524288,10,0.0001,0.0,0.0,1,0,0.560546875,0.560546875,293888,512,287,3222528,0.7295837305370194,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,e3fbbe94dd69d28c922c9ff47aa31f3f290af5fb4db16589c15537d3c43ef32e,225
s2,random,524288,11,0.0001,0.0,0.0,1,0,0.57421875,0.57421875,301056,512,294,3222528,0.7473784556720686,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,fd4a699b7c4a0827a5db11b324dad93b334692572b680af9257bce6cd624905f,218
s2,random,524288,12,0.0001,0.0,0.0,1,0,0.53515625,0.53515625,280576,512,274,3222528,0.6965363838576422,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,e22c0285d5e5eb0dd9b2259a0f0985fe377de8b227d18cc018f356806223df95,238
s2,random,524288,13,0.0001,0.0,0.0,1,0,0.525390625,0.525390625,275456,512,269,3222528,0.6838258659040356,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,32abb78025a52c45a3dbb87210f597f100a0360b37658d8e82262c0c85f97f67,243
s2,random,524288,14,0.0001,0.0,0.0,1,0,0.544921875,0.544921875,285696,512,279,3222528,0.7092469018112488,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,38d020a8e7817f28898c353a7d8cb9018497881d9fcdc5664ebbcf077f514090,233
s2,random,524288,15,0.0001,0.0,0.0,1,0,0.560546875,0.5625,294912,512,288,3222528,0.7321258341277407,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,6848d416586d1db9df24beb3154d6ab9739a05de18ccbcfe08eaaf9bfc59a139,224
s2,random,524288,16,0.0001,0.0,0.0,1,0,0.541015625,0.541015625,283648,512,277,3222528,0.7041626946298062,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,65e9710cf57cd01437b674b89d64a5b8d246f750243c6a5b6ca35cc6b7cb2eb2,235
s2,random,524288,17,0.0001,0.0,0.0,1,0,0.525390625,0.525390625,275456,512,269,3222528,0.6838258659040356,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0d05e57acba3b0b727cb87bef5e5e690863fe689af152a3bac9c1f98312c87cf,243
s2,random,524288,18,0.0001,0.0,0.0,1,0,0.521484375,0.521484375,273408,512,267,3222528,0.678741658722593,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,b05101dfa3cd2e4d8562cfb946180909b7e5cd83831461dd9159a06978fedf0b,245
s2,random,524288,19,0.0001,0.0,0.0,1,0,0.513671875,0.513671875,269312,512,263,3222528,0.6685732443597077,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,22cd6f3a4011dac88b02c9f42eef14960f16229568b80a28e611fb76c611bc15,249
s2,random,524288,20,0.0001,0.0,0.0,1,0,0.537109375,0.537109375,281600,512,275,3222528,0.6990784874483635,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,5681b9a366a752148033f76db92bdaaef1857ce649e760561075af23fc48d7c9,237
s2,random,524288,21,0.0001,0.0,0.0,1,0,0.525390625,0.52734375,276480,512,270,3222528,0.6863679694947569,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,5a802ab983105d365e1df76418141eee8c56a3615b4ec3c75f123131e174b2cd,242
s2,random,524288,22,0.0001,0.0,0.0,1,0,0.53515625,0.53515625,280576,512,274,3222528,0.6965363838576422,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,27bd1973d3c40d989678f6433ab9054149f748ae1b7d69ea01cbf5caeb45d68d,238
s2,random,524288,23,0.0001,0.0,0.0,1,0,0.5703125,0.5703125,299008,512,292,3222528,0.742294248490626,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0f3f32c321df104c3d3270eeebf4aa492809508cba71907eae8aa0e51869d970,220
s2,random,524288,24,0.0001,0.0,0.0,1,0,0.51953125,0.51953125,272384,512,266,3222528,0.6761995551318716,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,398da8909d26080e153527e003c16c5b8b288d40405a22eb1c9f85121e454810,246
s2,random,524288,25,0.0001,0.0,0.0,1,0,0.517578125,0.517578125,271360,512,265,3222528,0.6736574515411503,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,f4dc4093f7490d96d8e7c23768a64ab7c0ffffdeb70107da2cf7dc8f59be681c,247
s2,random,524288,26,0.0001,0.0,0.0,1,0,0.5078125,0.5078125,266240,512,260,3222528,0.6609469335875436,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,596a1cfa800f48337d6df83a8b8da2b7cc62cc3f46d9eced27a9058d82ce78cf,252
s2,random,524288,27,0.0001,0.0,0.0,1,0,0.5390625,0.5390625,282624,512,276,3222528,0.7016205910390848,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,eabd2269cd2abd487e558ca29621307ecf9f9f0e89027b6fe838549357e4a363,236
s2,random,524288,28,0.0001,0.0,0.0,1,0,0.517578125,0.517578125,271360,512,265,3222528,0.6736574515411503,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,d5b419707ad23095c316ea2ed746da3f1854e8f53cce07271a74538e41d907fb,247
s2,random,524288,29,0.0001,0.0,0.0,1,0,0.509765625,0.509765625,267264,512,261,3222528,0.663489037178265,1.53662109375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,bfa4be0546d3b020a2abf50e0c14b8dbaa561e0573c52f318f83691fe517b1fa,251
