scheme,dataset,size_bytes,p_sub,p_ins,p_del,replication,success_mean,success_std,success_ci95,byte_accuracy_mean,byte_accuracy_std,byte_accuracy_ci95,chunk_recovery_mean,chunk_recovery_std,chunk_recovery_ci95,effective_bits_per_base_mean,effective_bits_per_base_std,effective_bits_per_base_ci95,overhead_mean,overhead_std,overhead_ci95,trials
s1,random,524288,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.9523355576739754,2.2584051416334807e-16,8.081599008380939e-17,1.0244140625,0.0,0.0,30
s1,random,524288,0.0,5e-05,5e-05,1,0.0,0.0,0.0,0.6537760416666667,0.016300179658688786,0.005832944379094462,0.6537760416666667,0.016300179658688786,0.005832944379094462,1.2763902129011762,0.03182342034413215,0.011387864717240664,1.0244140625,0.0,0.0,30
s1,random,524288,0.0,0.0001,0.0001,1,0.0,0.0,0.0,0.4274088541666667,0.025517666123769718,0.009131379549237737,0.4274088541666667,0.025517666123769718,0.009131379549237737,0.8344455036542741,0.04981904692228826,0.017827516984593793,1.0244140625,0.0,0.0,30
s1,random,524288,0.0,0.00025,0.00025,1,0.0,0.0,0.0,0.115625,0.014041156575948498,0.005024563350871208,0.115625,0.014041156575948498,0.005024563350871208,0.22573879885605339,0.027413049254092017,0.009809633691691359,1.0244140625,0.0,0.0,30
s1,random,524288,0.0001,0.0,0.0,1,0.0,0.0,0.0,0.6679054896036783,0.02205640234898533,0.007892782214580143,0.6690104166666667,0.021831982538608165,0.007812474616817,1.3061328249126152,0.04262335580464206,0.015252571987837197,1.0244140625,0.0,0.0,30
s1,random,524288,0.0001,5e-05,5e-05,1,0.0,0.0,0.0,0.4313153584798177,0.02205594821752263,0.007892619705723296,0.4317708333333333,0.022374731103502073,0.008006694696420355,0.8429615506831902,0.04368298312676096,0.01563175475526109,1.0244140625,0.0,0.0,30
s1,random,524288,0.0001,0.0001,0.0001,1,0.0,0.0,0.0,0.2793631871541341,0.022436224792799976,0.00802869993052517,0.27981770833333336,0.022415846402585933,0.008021407617241332,0.5462980616460121,0.04376325398712678,0.015660479313737128,1.0244140625,0.0,0.0,30
s1,random,524288,0.0001,0.00025,0.00025,1,0.0,0.0,0.0,0.07526041666666666,0.010331571423819734,0.0036971053525571987,0.07532552083333334,0.010432299579542911,0.003733150460159977,0.14706069272322844,0.020367349417448877,0.007288362385517283,1.0244140625,0.0,0.0,30
s1,random,524288,0.0002,0.0,0.0,1,0.0,0.0,0.0,0.4389994939168294,0.024088566906826085,0.008619982962256181,0.4408203125,0.02394910155056912,0.008570075925469389,0.8606291706387034,0.04675668253152102,0.016731663961259587,1.0244140625,0.0,0.0,30
s1,random,524288,0.0002,5e-05,5e-05,1,0.0,0.0,0.0,0.2861986796061198,0.022167522996472688,0.007932546227599301,0.28736979166666665,0.0224966821867341,0.008050334331096623,0.5610422624721957,0.04392107256285172,0.015716953965763482,1.0244140625,0.0,0.0,30
s1,random,524288,0.0002,0.0001,0.0001,1,0.0,0.0,0.0,0.19251352945963543,0.018512291205667785,0.006624538329839853,0.19309895833333332,0.01842741008860537,0.006594164012192589,0.376993962503972,0.035976487951824405,0.012874020874137677,1.0244140625,0.0,0.0,30
s1,random,524288,0.0002,0.00025,0.00025,1,0.0,0.0,0.0,0.053320821126302084,0.009961488800169213,0.0035646729864959965,0.053515625,0.010032716047934945,0.003590161329765393,0.10448045757864634,0.019587228280429712,0.00700919962188706,1.0244140625,0.0,0.0,30
