scheme,p_sub,p_ins,p_del,success_mean,effective_bits_per_base_mean,overhead_mean,trials
s1,0.0,0.0,0.0,1.0,1.9523355576739756,1.0244140625,30
s1,0.0,5e-05,5e-05,0.0,1.2763902129011762,1.0244140625,30
s1,0.0,0.0001,0.0001,0.0,0.8344455036542741,1.0244140625,30
s1,0.0,0.00025,0.00025,0.0,0.2257387988560533,1.0244140625,30
s1,0.0001,0.0,0.0,0.0,1.3061328249126152,1.0244140625,30
s2,0.0,0.0,0.0,1.0,1.301557038449317,1.53662109375,30
s2,0.0,5e-05,5e-05,0.0,0.700095328884652,1.53662109375,30
s2,0.0,0.0001,0.0001,0.0,0.373858701408749,1.53662109375,30
s2,0.0,0.00025,0.00025,0.0,0.0546552272005084,1.53662109375,30
s2,0.0001,0.0,0.0,0.0,0.6878932316491896,1.53662109375,30
s3,0.0,0.0,0.0,1.0,0.301265077964107,6.638671875,30
s3,0.0,5e-05,5e-05,0.0,0.2485044620966951,6.638671875,30
s3,0.0,0.0001,0.0001,0.0,0.142571344513092,6.638671875,30
s3,0.0,0.00025,0.00025,0.0,0.015180935569285,6.638671875,30
s3,0.0001,0.0,0.0,0.0,0.2683338236736295,6.638671875,30
