scheme,p_sub,p_indel,trial,seed
s1,0.0,0.0,0,3458597231
s1,0.0,0.0,1,1277910808
s1,0.0,0.0,2,583549218
s1,0.0,0.0,3,2150906426
s1,0.0,0.0,4,3065260267
s1,0.0,0.0,5,25061201
s1,0.0,0.0,6,3179809515
s1,0.0,0.0,7,2919384468
s1,0.0,0.0,8,2034703751
s1,0.0,0.0,9,369560739
s1,0.0,0.0,10,1384285104
s1,0.0,0.0,11,3056933981
s1,0.0,0.0,12,2344472677
s1,0.0,0.0,13,614914697
s1,0.0,0.0,14,2854370334
s1,0.0,0.0,15,3876981505
s1,0.0,0.0,16,2205848859
s1,0.0,0.0,17,1982392317
s1,0.0,0.0,18,529443442
s1,0.0,0.0,19,139238350
s1,0.0,0.0,20,1747879658
s1,0.0,0.0,21,737901017
s1,0.0,0.0,22,153252779
s1,0.0,0.0,23,2744077323
s1,0.0,0.0,24,1712882706
s1,0.0,0.0,25,891062142
s1,0.0,0.0,26,10562893
s1,0.0,0.0,27,376236016
s1,0.0,0.0,28,3990803050
s1,0.0,0.0,29,2903036811
s1,0.0,0.0001,0,3997059713
s1,0.0,0.0001,1,1114073604
s1,0.0,0.0001,2,2895957071
s1,0.0,0.0001,3,3429800754
s1,0.0,0.0001,4,2450188624
s1,0.0,0.0001,5,4207731508
s1,0.0,0.0001,6,1556750838
s1,0.0,0.0001,7,2908264698
s1,0.0,0.0001,8,1265895357
s1,0.0,0.0001,9,2309758626
s1,0.0,0.0001,10,919640376
s1,0.0,0.0001,11,2514564300
s1,0.0,0.0001,12,2194417773
s1,0.0,0.0001,13,2948205362
s1,0.0,0.0001,14,1557306848
s1,0.0,0.0001,15,1038858773
s1,0.0,0.0001,16,2404254661
s1,0.0,0.0001,17,1769645287
s1,0.0,0.0001,18,4045197403
s1,0.0,0.0001,19,2932015500
s1,0.0,0.0001,20,3275317191
s1,0.0,0.0001,21,2677402846
s1,0.0,0.0001,22,3528162409
s1,0.0,0.0001,23,2666245953
s1,0.0,0.0001,24,590704385
s1,0.0,0.0001,25,3987172681
s1,0.0,0.0001,26,277682970
s1,0.0,0.0001,27,4142794692
s1,0.0,0.0001,28,2467644066
s1,0.0,0.0001,29,346397317
s1,0.0,0.0002,0,120322881
s1,0.0,0.0002,1,2646652862
s1,0.0,0.0002,2,2612441706
s1,0.0,0.0002,3,177118233
s1,0.0,0.0002,4,2887700525
s1,0.0,0.0002,5,1860281795
s1,0.0,0.0002,6,1082540585
s1,0.0,0.0002,7,1169107380
s1,0.0,0.0002,8,2882010986
s1,0.0,0.0002,9,3483297627
s1,0.0,0.0002,10,593521968
s1,0.0,0.0002,11,950579957
s1,0.0,0.0002,12,3095855025
s1,0.0,0.0002,13,141708628
s1,0.0,0.0002,14,3014831558
s1,0.0,0.0002,15,1335816416
s1,0.0,0.0002,16,30227192
s1,0.0,0.0002,17,3620896122
s1,0.0,0.0002,18,3301120438
s1,0.0,0.0002,19,2738357256
s1,0.0,0.0002,20,3522326300
s1,0.0,0.0002,21,571806471
s1,0.0,0.0002,22,2965043690
s1,0.0,0.0002,23,85505853
s1,0.0,0.0002,24,1656159846
s1,0.0,0.0002,25,4276129673
s1,0.0,0.0002,26,3768449766
s1,0.0,0.0002,27,1702187253
s1,0.0,0.0002,28,267308751
s1,0.0,0.0002,29,2175241830
s1,0.0,0.0005,0,1957712699
s1,0.0,0.0005,1,4064430388
s1,0.0,0.0005,2,1794695698
s1,0.0,0.0005,3,596327214
s1,0.0,0.0005,4,1410315820
s1,0.0,0.0005,5,639162760
s1,0.0,0.0005,6,559139542
s1,0.0,0.0005,7,3507893062
s1,0.0,0.0005,8,3639891137
s1,0.0,0.0005,9,3562087766
s1,0.0,0.0005,10,559028466
s1,0.0,0.0005,11,2395332925
s1,0.0,0.0005,12,1886959721
s1,0.0,0.0005,13,524598131
s1,0.0,0.0005,14,1525278819
s1,0.0,0.0005,15,3334588288
s1,0.0,0.0005,16,2382135831
s1,0.0,0.0005,17,4005654589
s1,0.0,0.0005,18,1876670314
s1,0.0,0.0005,19,3527803680
s1,0.0,0.0005,20,3293377079
s1,0.0,0.0005,21,542474581
s1,0.0,0.0005,22,1855473786
s1,0.0,0.0005,23,1591188099
s1,0.0,0.0005,24,649442548
s1,0.0,0.0005,25,2911206047
s1,0.0,0.0005,26,3193554411
s1,0.0,0.0005,27,3256139769
s1,0.0,0.0005,28,1652251841
s1,0.0,0.0005,29,1867072435
s1,0.0001,0.0,0,755634786
s1,0.0001,0.0,1,1892410819
s1,0.0001,0.0,2,521501763
s1,0.0001,0.0,3,3463240563
s1,0.0001,0.0,4,3739553477
s1,0.0001,0.0,5,2917740503
s1,0.0001,0.0,6,3027652505
s1,0.0001,0.0,7,3133891969
s1,0.0001,0.0,8,1933569579
s1,0.0001,0.0,9,3847877515
s1,0.0001,0.0,10,511585986
s1,0.0001,0.0,11,838548221
s1,0.0001,0.0,12,826891514
s1,0.0001,0.0,13,2273721057
s1,0.0001,0.0,14,800496378
s1,0.0001,0.0,15,2594039273
s1,0.0001,0.0,16,3228604249
s1,0.0001,0.0,17,3768719304
s1,0.0001,0.0,18,1426563526
s1,0.0001,0.0,19,1397119038
s1,0.0001,0.0,20,943559903
s1,0.0001,0.0,21,2616250860
s1,0.0001,0.0,22,642778715
s1,0.0001,0.0,23,1816732441
s1,0.0001,0.0,24,3910762336
s1,0.0001,0.0,25,697846182
s1,0.0001,0.0,26,4124984264
s1,0.0001,0.0,27,1043640868
s1,0.0001,0.0,28,3581397074
s1,0.0001,0.0,29,3068565016
s1,0.0001,0.0001,0,1066588309
s1,0.0001,0.0001,1,1663236371
s1,0.0001,0.0001,2,2761137975
s1,0.0001,0.0001,3,3117051264
s1,0.0001,0.0001,4,1495633388
s1,0.0001,0.0001,5,3835346868
s1,0.0001,0.0001,6,3563441590
s1,0.0001,0.0001,7,904059600
s1,0.0001,0.0001,8,1131688108
s1,0.0001,0.0001,9,2753528679
s1,0.0001,0.0001,10,3216641285
s1,0.0001,0.0001,11,111456749
s1,0.0001,0.0001,12,1564232319
s1,0.0001,0.0001,13,1198553812
s1,0.0001,0.0001,14,1679730679
s1,0.0001,0.0001,15,892749423
s1,0.0001,0.0001,16,745113634
s1,0.0001,0.0001,17,3980354296
