scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s3,random,524288,0,0.0,0.00025,0.00025,3,0,0.05859375,0.05859375,30720,512,30,13922304,0.0176522506619594,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,6f3e0fca83824c375883f29d6b6f5737f85ecdffa08374f4316cb75238203c9f,1484
s3,random,524288,1,0.0,0.00025,0.00025,3,0,0.05078125,0.05078125,26624,512,26,13922304,0.015298617240364814,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,da29bb593e954468f7186e580bd937c44f1eff0f7bc120906a7234cd7ebc5b78,1480
s3,random,524288,2,0.0,0.00025,0.00025,3,0,0.064453125,0.064453125,33792,512,33,13922304,0.019417475728155338,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,4825c5501ff654907048590c6c9a2850487bc22d4e39a1b19d30d768905fc1b2,1473
s3,random,524288,3,0.0,0.00025,0.00025,3,0,0.04296875,0.04296875,22528,512,22,13922304,0.012944983818770227,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,2fa1498003890867e21ff6e8b0aec7016f0e809e59ea160e1a8c3cc7da46de5c,1489
s3,random,524288,4,0.0,0.00025,0.00025,3,0,0.0546875,0.0546875,28672,512,28,13922304,0.016475433951162105,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,149273129880c84974d5860f5c8ad9e9ca1a7c3c0ea4871ac3cbf75f150429a2,1477
s3,random,524288,5,0.0,0.00025,0.00025,3,0,0.0390625,0.0390625,20480,512,20,13922304,0.011768167107972934,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,719b932f50f70ae971f25c2ba3112251052417bfa9f1af4f6bf88afb87529f13,1501
s3,random,524288,6,0.0,0.00025,0.00025,3,0,0.052734375,0.052734375,27648,512,27,13922304,0.01588702559576346,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,13327993c9bd04849d8d773c8103bd73250daf0390cd2f496aee1e3f0dcf4bbf,1481
s3,random,524288,7,0.0,0.00025,0.00025,3,0,0.044921875,0.044921875,23552,512,23,13922304,0.013533392174168874,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,59c1051a8706fb19731cddff71fb1c1ba09b046ea543cefa471556ebfc63feb4,1489
s3,random,524288,8,0.0,0.00025,0.00025,3,0,0.046875,0.046875,24576,512,24,13922304,0.01412180052956752,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,e640965114a993b4e524a0a292b5aa780b18d3d99f847acb73956f98a582326d,1491
s3,random,524288,9,0.0,0.00025,0.00025,3,0,0.0546875,0.0546875,28672,512,28,13922304,0.016475433951162105,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,ceb4f18afd99937a30efc4b15e9c077144cc1327a0abac77cd33fcc624f89fe5,1479
s3,random,524288,10,0.0,0.00025,0.00025,3,0,0.03125,0.03125,16384,512,16,13922304,0.009414533686378346,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,7b5d3cba000e0358ad0578d0b892b02e736bf002d30477b1216ed15d9455208f,1502
s3,random,524288,11,0.0,0.00025,0.00025,3,0,0.060546875,0.060546875,31744,512,31,13922304,0.018240659017358045,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,f46e6b9700a9430507eb03b754cda63382709a35a0f305df08e9fbb015aafff3,1471
