scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s3,random,524288,0,0.02,0.01,0.01,2,0,0.0,0.0,0,512,0,9281536,0.0,4.42578125,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s3,random,524288,1,0.02,0.01,0.01,2,0,0.0,0.0,0,512,0,9281536,0.0,4.42578125,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s3,random,524288,2,0.02,0.01,0.01,2,0,0.0,0.0,0,512,0,9281536,0.0,4.42578125,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s3,random,524288,3,0.02,0.01,0.01,2,0,0.0,0.0,0,512,0,9281536,0.0,4.42578125,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s3,random,524288,4,0.02,0.01,0.01,2,0,0.0,0.0,0,512,0,9281536,0.0,4.42578125,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s3,random,524288,5,0.02,0.01,0.01,2,0,0.0,0.0,0,512,0,9281536,0.0,4.42578125,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s3,random,524288,6,0.02,0.01,0.01,2,0,0.0,0.0,0,512,0,9281536,0.0,4.42578125,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s3,random,524288,7,0.02,0.01,0.01,2,0,0.0,0.0,0,512,0,9281536,0.0,4.42578125,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s3,random,524288,8,0.02,0.01,0.01,2,0,0.0,0.0,0,512,0,9281536,0.0,4.42578125,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s3,random,524288,9,0.02,0.01,0.01,2,0,0.0,0.0,0,512,0,9281536,0.0,4.42578125,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
