scheme,dataset,size_bytes,p_sub,p_ins,p_del,replication,success_mean,success_std,success_ci95,byte_accuracy_mean,byte_accuracy_std,byte_accuracy_ci95,chunk_recovery_mean,chunk_recovery_std,chunk_recovery_ci95,effective_bits_per_base_mean,effective_bits_per_base_std,effective_bits_per_base_ci95,overhead_mean,overhead_std,overhead_ci95,trials
s1,random,524288,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.9523355576739754,2.340555645717801e-16,1.4506914188435379e-16,1.0244140625,0.0,0.0,10
s1,random,524288,0.0,0.00125,0.00125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.0,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.0,0.005,0.005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.0,0.01,0.01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.005,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.005,0.00125,0.00125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.005,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.005,0.005,0.005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.005,0.01,0.01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.01,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.01,0.00125,0.00125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.01,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.01,0.005,0.005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.01,0.01,0.01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.02,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.02,0.00125,0.00125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.02,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.02,0.005,0.005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.02,0.01,0.01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.03,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.03,0.00125,0.00125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.03,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.03,0.005,0.005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s1,random,524288,0.03,0.01,0.01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,10
s2,random,524288,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.301557038449317,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.0,0.00125,0.00125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.0,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.0,0.005,0.005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.0,0.01,0.01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.005,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.005,0.00125,0.00125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.005,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.005,0.005,0.005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.005,0.01,0.01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.01,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.01,0.00125,0.00125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.01,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.01,0.005,0.005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.01,0.01,0.01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.02,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.02,0.00125,0.00125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
s2,random,524288,0.02,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53662109375,0.0,0.0,10
