scheme,p_sub,p_indel,trial,seed
s1,0.0,0.0,0,3458597231
s1,0.0,0.0,1,1277910808
s1,0.0,0.0,2,583549218
s1,0.0,0.0,3,2150906426
s1,0.0,0.0,4,3065260267
s1,0.0,0.0,5,25061201
s1,0.0,0.0,6,3179809515
s1,0.0,0.0,7,2919384468
s1,0.0,0.0,8,2034703751
s1,0.0,0.0,9,369560739
s1,0.0,0.0025,0,1302789035
s1,0.0,0.0025,1,3019452039
s1,0.0,0.0025,2,4099463423
s1,0.0,0.0025,3,3829875088
s1,0.0,0.0025,4,4163712358
s1,0.0,0.0025,5,1270982585
s1,0.0,0.0025,6,12901483
s1,0.0,0.0025,7,1545756092
s1,0.0,0.0025,8,3035166443
s1,0.0,0.0025,9,180941101
s1,0.0,0.005,0,2904651897
s1,0.0,0.005,1,3162205247
s1,0.0,0.005,2,3786624654
s1,0.0,0.005,3,1990428375
s1,0.0,0.005,4,2329057776
s1,0.0,0.005,5,2507390508
s1,0.0,0.005,6,2087165107
s1,0.0,0.005,7,1202334647
s1,0.0,0.005,8,4103810426
s1,0.0,0.005,9,659324409
s1,0.0,0.01,0,289452755
s1,0.0,0.01,1,1679498023
s1,0.0,0.01,2,2013526208
s1,0.0,0.01,3,311925628
s1,0.0,0.01,4,2720016545
s1,0.0,0.01,5,579534578
s1,0.0,0.01,6,112051170
s1,0.0,0.01,7,3838809649
s1,0.0,0.01,8,2043099243
s1,0.0,0.01,9,1313985480
s1,0.0,0.02,0,4158729696
s1,0.0,0.02,1,1441030574
s1,0.0,0.02,2,1894990232
s1,0.0,0.02,3,1042016037
s1,0.0,0.02,4,1177458410
s1,0.0,0.02,5,4245298656
s1,0.0,0.02,6,2478595090
s1,0.0,0.02,7,554239000
s1,0.0,0.02,8,3279428507
s1,0.0,0.02,9,2724769413
s1,0.005,0.0,0,704080422
s1,0.005,0.0,1,3110307731
s1,0.005,0.0,2,2002699799
s1,0.005,0.0,3,2363741700
s1,0.005,0.0,4,918417390
s1,0.005,0.0,5,913620284
s1,0.005,0.0,6,2474228401
s1,0.005,0.0,7,1481517041
s1,0.005,0.0,8,3151955275
s1,0.005,0.0,9,2505320048
s1,0.005,0.0025,0,1612245166
s1,0.005,0.0025,1,819324509
s1,0.005,0.0025,2,1156759739
s1,0.005,0.0025,3,2643797653
s1,0.005,0.0025,4,2020233828
s1,0.005,0.0025,5,4162408638
s1,0.005,0.0025,6,2706893914
s1,0.005,0.0025,7,635772313
s1,0.005,0.0025,8,2147090148
s1,0.005,0.0025,9,2575248423
s1,0.005,0.005,0,3418941224
s1,0.005,0.005,1,2234632408
s1,0.005,0.005,2,346920146
s1,0.005,0.005,3,2422080938
s1,0.005,0.005,4,2843917556
s1,0.005,0.005,5,3964322735
s1,0.005,0.005,6,2256051489
s1,0.005,0.005,7,3703468333
s1,0.005,0.005,8,3778767003
s1,0.005,0.005,9,526222616
s1,0.005,0.01,0,69218865
s1,0.005,0.01,1,3719961403
s1,0.005,0.01,2,386768163
s1,0.005,0.01,3,2848124626
s1,0.005,0.01,4,3191357129
s1,0.005,0.01,5,3938857950
s1,0.005,0.01,6,103852673
s1,0.005,0.01,7,3169537288
s1,0.005,0.01,8,3433819800
s1,0.005,0.01,9,1379396257
s1,0.005,0.02,0,3359987362
s1,0.005,0.02,1,2885763299
s1,0.005,0.02,2,155125725
s1,0.005,0.02,3,467739050
s1,0.005,0.02,4,1983288796
s1,0.005,0.02,5,816550116
s1,0.005,0.02,6,1725928584
s1,0.005,0.02,7,534696698
s1,0.005,0.02,8,3123026721
s1,0.005,0.02,9,3135202986
s1,0.01,0.0,0,185602481
s1,0.01,0.0,1,3002689702
s1,0.01,0.0,2,3676290514
s1,0.01,0.0,3,1573213301
s1,0.01,0.0,4,1650029622
s1,0.01,0.0,5,1651805231
s1,0.01,0.0,6,3739983833
s1,0.01,0.0,7,3921172974
s1,0.01,0.0,8,338209734
s1,0.01,0.0,9,4044081118
s1,0.01,0.0025,0,4283872239
s1,0.01,0.0025,1,2270119399
s1,0.01,0.0025,2,3340091716
s1,0.01,0.0025,3,3049902324
s1,0.01,0.0025,4,1963280060
s1,0.01,0.0025,5,2770513434
s1,0.01,0.0025,6,2098382386
s1,0.01,0.0025,7,1957041657
s1,0.01,0.0025,8,3913834817
s1,0.01,0.0025,9,3618758683
s1,0.01,0.005,0,3992312053
s1,0.01,0.005,1,2600336958
s1,0.01,0.005,2,2945899400
s1,0.01,0.005,3,1401092349
s1,0.01,0.005,4,2001747889
s1,0.01,0.005,5,3311012808
s1,0.01,0.005,6,3504333178
s1,0.01,0.005,7,1806364754
s1,0.01,0.005,8,1492123466
s1,0.01,0.005,9,544990365
s1,0.01,0.01,0,3578650371
s1,0.01,0.01,1,1140723776
s1,0.01,0.01,2,2356428352
s1,0.01,0.01,3,1436717826
s1,0.01,0.01,4,1617964225
s1,0.01,0.01,5,3684147316
s1,0.01,0.01,6,869497487
s1,0.01,0.01,7,1908965039
s1,0.01,0.01,8,2365490373
s1,0.01,0.01,9,4261256749
s1,0.01,0.02,0,3581856812
s1,0.01,0.02,1,94883888
s1,0.01,0.02,2,4243468260
s1,0.01,0.02,3,273937856
s1,0.01,0.02,4,4235048543
s1,0.01,0.02,5,2133616032
s1,0.01,0.02,6,4010906480
s1,0.01,0.02,7,3228892588
s1,0.01,0.02,8,1785077779
s1,0.01,0.02,9,1000869801
s1,0.02,0.0,0,2590556182
s1,0.02,0.0,1,3983109436
s1,0.02,0.0,2,1476958142
s1,0.02,0.0,3,4117942640
s1,0.02,0.0,4,4075986317
s1,0.02,0.0,5,235495485
s1,0.02,0.0,6,1692619415
s1,0.02,0.0,7,327719363
s1,0.02,0.0,8,3193549388
s1,0.02,0.0,9,3021539291
s1,0.02,0.0025,0,3673252791
s1,0.02,0.0025,1,1552859386
s1,0.02,0.0025,2,2734092446
s1,0.02,0.0025,3,1860067125
s1,0.02,0.0025,4,3659148591
s1,0.02,0.0025,5,721635727
s1,0.02,0.0025,6,2797843613
s1,0.02,0.0025,7,2120903396
s1,0.02,0.0025,8,735678840
s1,0.02,0.0025,9,3146758479
s1,0.02,0.005,0,85120942
s1,0.02,0.005,1,2521639121
s1,0.02,0.005,2,1475831068
s1,0.02,0.005,3,1610688041
