scheme,dataset,size_bytes,p_sub,p_ins,p_del,replication,success_mean,success_std,success_ci95,byte_accuracy_mean,byte_accuracy_std,byte_accuracy_ci95,chunk_recovery_mean,chunk_recovery_std,chunk_recovery_ci95,effective_bits_per_base_mean,effective_bits_per_base_std,effective_bits_per_base_ci95,overhead_mean,overhead_std,overhead_ci95,trials
s1,random,1048576,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.9523355576739754,2.2429892266911074e-16,6.217248937900877e-17,1.0244140625,0.0,0.0,50
s1,random,1048576,0.0,0.00125,0.00125,1,0.0,0.0,0.0,5.7220458984375e-08,4.046097457045827e-07,1.1215209960937498e-07,1.953125e-05,0.00013810679320049753,3.828124999999999e-05,3.813155386081983e-05,0.00026963080312165775,7.473784556720686e-05,1.0244140625,0.0,0.0,50
s1,random,1048576,0.0,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,50
s1,random,1048576,0.0,0.005,0.005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,50
s1,random,1048576,0.0,0.01,0.01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,50
s1,random,1048576,0.005,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,50
s1,random,1048576,0.005,0.00125,0.00125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,50
s1,random,1048576,0.005,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,50
s1,random,1048576,0.005,0.005,0.005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,50
s1,random,1048576,0.005,0.01,0.01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,50
s1,random,1048576,0.01,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,50
s1,random,1048576,0.01,0.00125,0.00125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,50
s1,random,1048576,0.01,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,50
s1,random,1048576,0.01,0.005,0.005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0244140625,0.0,0.0,50
