scheme,p_sub,p_ins,p_del,success_mean,effective_bits_per_base_mean,overhead_mean,trials
s1,0.0,0.0,0.0,1.0,1.9523355576739756,1.0244140625,50
s1,0.0,0.00125,0.00125,0.0,3.813155386081983e-05,1.0244140625,50
s1,0.0,0.0025,0.0025,0.0,0.0,1.0244140625,50
s1,0.0,0.005,0.005,0.0,0.0,1.0244140625,50
s1,0.0,0.01,0.01,0.0,0.0,1.0244140625,50
s2,0.0,0.0,0.0,1.0,1.3015570384493171,1.53662109375,50
s2,0.0,0.00125,0.00125,0.0,0.0,1.53662109375,50
s2,0.0,0.0025,0.0025,0.0,0.0,1.53662109375,50
s2,0.0,0.005,0.005,0.0,0.0,1.53662109375,50
s2,0.0,0.01,0.01,0.0,0.0,1.53662109375,50
s3,0.0,0.0,0.0,1.0,0.4518976169461607,4.42578125,50
s3,0.0,0.00125,0.00125,0.0,0.0,4.42578125,50
s3,0.0,0.0025,0.0025,0.0,0.0,4.42578125,50
s3,0.0,0.005,0.005,0.0,0.0,4.42578125,50
s3,0.0,0.01,0.01,0.0,0.0,4.42578125,50
