scheme,p_sub,p_indel,trial,seed
s1,0.0,0.0,0,2053919003
s1,0.0,0.0,1,3721457133
s1,0.0,0.0,2,1193366854
s1,0.0,0.0,3,812760223
s1,0.0,0.0,4,2480298353
s1,0.0,0.0,5,2099691722
s1,0.0,0.0,6,1619746204
s1,0.0,0.0,7,1239139573
s1,0.0,0.0,8,858532942
s1,0.0,0.0,9,2526071072
s1,0.0,0.0,10,4292948089
s1,0.0,0.0,11,1665518923
s1,0.0,0.0,12,1284912292
s1,0.0,0.0,13,2952450422
s1,0.0,0.0,14,2571843791
s1,0.0,0.0,15,43753512
s1,0.0,0.0,16,1711291642
s1,0.0,0.0,17,1330685011
s1,0.0,0.0,18,2998223141
s1,0.0,0.0,19,470132862
s1,0.0,0.0,20,2137670992
s1,0.0,0.0,21,1757064361
s1,0.0,0.0,22,1376457730
s1,0.0,0.0,23,896512212
s1,0.0,0.0,24,515905581
s1,0.0,0.0,25,2183443711
s1,0.0,0.0,26,1802837080
s1,0.0,0.0,27,3569714097
s1,0.0,0.0,28,942284931
s1,0.0,0.0,29,561678300
s1,0.0,0.0,30,2229216430
s1,0.0,0.0,31,3996093447
s1,0.0,0.0,32,1368664281
s1,0.0,0.0,33,988057650
s1,0.0,0.0,34,607451019
s1,0.0,0.0,35,127505501
s1,0.0,0.0,36,4041866166
s1,0.0,0.0,37,1414437000
s1,0.0,0.0,38,1033830369
s1,0.0,0.0,39,2701368499
s1,0.0,0.0,40,173278220
s1,0.0,0.0,41,4087638885
s1,0.0,0.0,42,1460209719
s1,0.0,0.0,43,1079603088
s1,0.0,0.0,44,599657570
s1,0.0,0.0,45,219050939
s1,0.0,0.0,46,1886589069
s1,0.0,0.0,47,1505982438
s1,0.0,0.0,48,3272859455
s1,0.0,0.0,49,645430289
s1,0.0,0.0025,0,1719939842
s1,0.0,0.0025,1,1239994324
s1,0.0,0.0025,2,859387693
s1,0.0,0.0025,3,2526925823
s1,0.0,0.0025,4,2146319192
s1,0.0,0.0025,5,1666373674
s1,0.0,0.0025,6,1285767043
s1,0.0,0.0025,7,905160412
s1,0.0,0.0025,8,2572698542
s1,0.0,0.0025,9,2192091911
s1,0.0,0.0025,10,1712146393
s1,0.0,0.0025,11,1331539762
s1,0.0,0.0025,12,2999077892
s1,0.0,0.0025,13,2618471261
s1,0.0,0.0025,14,90380982
s1,0.0,0.0025,15,1757919112
s1,0.0,0.0025,16,1377312481
s1,0.0,0.0025,17,3044850611
s1,0.0,0.0025,18,516760332
s1,0.0,0.0025,19,136153701
s1,0.0,0.0025,20,1803691831
s1,0.0,0.0025,21,1423085200
s1,0.0,0.0025,22,943139682
s1,0.0,0.0025,23,562533051
s1,0.0,0.0025,24,2230071181
s1,0.0,0.0025,25,1849464550
s1,0.0,0.0025,26,3616341567
s1,0.0,0.0025,27,988912401
s1,0.0,0.0025,28,608305770
s1,0.0,0.0025,29,2275843900
s1,0.0,0.0025,30,4042720917
s1,0.0,0.0025,31,1415291751
s1,0.0,0.0025,32,1034685120
s1,0.0,0.0025,33,654078489
s1,0.0,0.0025,34,2321616619
s1,0.0,0.0025,35,4088493636
s1,0.0,0.0025,36,1461064470
s1,0.0,0.0025,37,1080457839
s1,0.0,0.0025,38,699851208
s1,0.0,0.0025,39,219905690
s1,0.0,0.0025,40,4134266355
s1,0.0,0.0025,41,1506837189
s1,0.0,0.0025,42,1126230558
s1,0.0,0.0025,43,646285040
s1,0.0,0.0025,44,265678409
s1,0.0,0.0025,45,4180039074
s1,0.0,0.0025,46,1552609908
s1,0.0,0.0025,47,3319486925
s1,0.0,0.0025,48,692057759
s1,0.0,0.0025,49,311451128
s1,0.0,0.005,0,3923329377
s1,0.0,0.005,1,1395239098
s1,0.0,0.005,2,3062777228
s1,0.0,0.005,3,2682170597
s1,0.0,0.005,4,2301563966
s1,0.0,0.005,5,1821618448
s1,0.0,0.005,6,1441011817
s1,0.0,0.005,7,3108549947
s1,0.0,0.005,8,2727943316
s1,0.0,0.005,9,2247997798
s1,0.0,0.005,10,1867391167
s1,0.0,0.005,11,1486784536
s1,0.0,0.005,12,3154322666
s1,0.0,0.005,13,626232387
s1,0.0,0.005,14,2293770517
s1,0.0,0.005,15,1913163886
s1,0.0,0.005,16,3580702016
s1,0.0,0.005,17,3200095385
s1,0.0,0.005,18,672005106
s1,0.0,0.005,19,2339543236
s1,0.0,0.005,20,1958936605
s1,0.0,0.005,21,3626474735
s1,0.0,0.005,22,1098384456
s1,0.0,0.005,23,2765922586
s1,0.0,0.005,24,2385315955
s1,0.0,0.005,25,2004709324
s1,0.0,0.005,26,1524763806
s1,0.0,0.005,27,1144157175
s1,0.0,0.005,28,2811695305
s1,0.0,0.005,29,2431088674
s1,0.0,0.005,30,4197965691
s1,0.0,0.005,31,1570536525
s1,0.0,0.005,32,1189929894
s1,0.0,0.005,33,2857468024
s1,0.0,0.005,34,329377745
s1,0.0,0.005,35,1996915875
s1,0.0,0.005,36,1616309244
s1,0.0,0.005,37,1235702613
s1,0.0,0.005,38,2903240743
s1,0.0,0.005,39,375150464
s1,0.0,0.005,40,2042688594
