scheme,p_sub,p_ins,p_del,success_mean,effective_bits_per_base_mean,overhead_mean,trials
s1,0.0,0.0,0.0,0.0,0.0,1.0244140625,1
s1,0.0,0.01,0.01,0.0,0.0,1.0244140625,1
s1,0.02,0.0,0.0,0.0,0.0,1.0244140625,1
s1,0.02,0.01,0.01,0.0,0.0,1.0244140625,1
s2,0.0,0.0,0.0,0.0,0.0,1.53662109375,1
s2,0.0,0.01,0.01,0.0,0.0,1.53662109375,1
s2,0.02,0.0,0.0,0.0,0.0,1.53662109375,1
s2,0.02,0.01,0.01,0.0,0.0,1.53662109375,1
s3,0.0,0.0,0.0,0.0,0.0,4.42578125,1
s3,0.0,0.01,0.01,0.0,0.0,4.42578125,1
s3,0.02,0.0,0.0,0.0,0.0,4.42578125,1
s3,0.02,0.01,0.01,0.0,0.0,4.42578125,1
