scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s2,random,10240,0,0.0005,5e-05,5e-05,1,0,0.375,0.375,3840,40,15,67440,0.4555160142348754,1.646484375,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,0fd3aea7f70e61d8d655534a0651e04102827b1e123a68f387ce925584eaa229,25
s2,random,10240,1,0.0005,5e-05,5e-05,1,0,0.225,0.225,2304,40,9,67440,0.2733096085409253,1.646484375,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,c2d73cdaabc5822540c4b8047a3d0543560daa6dd7c7ea1e20aeea9f8955fc8c,31
s2,random,10240,2,0.0005,5e-05,5e-05,1,0,0.375,0.375,3840,40,15,67440,0.4555160142348754,1.646484375,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,b9ac6840b64d0dfa70f8b374f1367de099eb836a047020e30ccc1c675419160d,25
s2,random,10240,3,0.0005,5e-05,5e-05,1,0,0.4,0.4,4096,40,16,67440,0.48588374851720045,1.646484375,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,f9d11a7e302634e711e4914384647bff127dd6ef8f3dfc24a2281dd2bf21f7ab,24
s2,random,10240,4,0.0005,5e-05,5e-05,1,0,0.35,0.35,3584,40,14,67440,0.4251482799525504,1.646484375,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,b521073396a208aec9eb3471a27d16bdd1c02754b13e3c4c7e1078a5e2eeb3a4,26
s2,random,10240,5,0.0005,5e-05,5e-05,1,0,0.275,0.275,2816,40,11,67440,0.33404507710557535,1.646484375,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,b655457f21e8748d270325b53ee8ccec9958595a4df2beb3f21f185cfbc0d685,29
s2,random,10240,6,0.0005,5e-05,5e-05,1,0,0.275,0.3,3072,40,12,67440,0.3644128113879004,1.646484375,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,fa68a2dca9625ae33dee68fe8f04523878b60f49551db7c58d6171d6eea3deba,28
s2,random,10240,7,0.0005,5e-05,5e-05,1,0,0.325,0.325,3328,40,13,67440,0.39478054567022536,1.646484375,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,b546c35d24fb9e6928758312c0bc7fa255838e20b82573bdef7a3bef24915056,27
s2,random,10240,8,0.0005,5e-05,5e-05,1,0,0.525,0.525,5376,40,21,67440,0.6377224199288256,1.646484375,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,6c79435bfd3d15e034e3640a3b6ca47f31e5f9c4d55040beeb6863f13ce99398,19
s2,random,10240,9,0.0005,5e-05,5e-05,1,0,0.45,0.45,4608,40,18,67440,0.5466192170818506,1.646484375,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,c89f812eb0342e8ee05c2cd56535ad52292155a6b79c60bd6b41e37d54f70b4f,22
