scheme,p_sub,p_ins,p_del,success_mean,effective_bits_per_base_mean,overhead_mean,trials
s1,0.0,0.0,0.0,1.0,1.822064056939502,1.09765625,10
s1,0.0,5e-05,5e-05,0.0,1.5715302491103205,1.09765625,10
s1,0.0,0.0001,0.0001,0.0,1.4212099644128116,1.09765625,10
s1,0.0,0.00025,0.00025,0.0,1.0431316725978648,1.09765625,10
s1,0.0,0.0005,0.0005,0.0,0.6377224199288257,1.09765625,10
s2,0.0,0.0,0.0,1.0,1.2147093712930013,1.646484375,10
s2,0.0,5e-05,5e-05,0.0,1.0264294187425862,1.646484375,10
s2,0.0,0.0001,0.0001,0.0,0.8837010676156583,1.646484375,10
s2,0.0,0.00025,0.00025,0.0,0.5648398576512454,1.646484375,10
s2,0.0,0.0005,0.0005,0.0,0.2034638196915777,1.646484375,10
s3,0.0,0.0,0.0,1.0,0.1258758451137062,15.888671875,10
s3,0.0,5e-05,5e-05,1.0,0.1258758451137062,15.888671875,10
s3,0.0002,0.0,0.0,1.0,0.1258758451137062,15.888671875,10
s3,0.0005,0.0,0.0,1.0,0.1258758451137062,15.888671875,10
s3,0.001,0.0,0.0,1.0,0.1258758451137062,15.888671875,10
