scheme,p_sub,p_indel,trial,seed
s1,0.0,0.0,0,3458597231
s1,0.0,0.0,1,1277910808
s1,0.0,0.0,2,583549218
s1,0.0,0.0,3,2150906426
s1,0.0,0.0,4,3065260267
s1,0.0,0.0,5,25061201
s1,0.0,0.0,6,3179809515
s1,0.0,0.0,7,2919384468
s1,0.0,0.0,8,2034703751
s1,0.0,0.0,9,369560739
s1,0.0,0.0001,0,3997059713
s1,0.0,0.0001,1,1114073604
s1,0.0,0.0001,2,2895957071
s1,0.0,0.0001,3,3429800754
s1,0.0,0.0001,4,2450188624
s1,0.0,0.0001,5,4207731508
s1,0.0,0.0001,6,1556750838
s1,0.0,0.0001,7,2908264698
s1,0.0,0.0001,8,1265895357
s1,0.0,0.0001,9,2309758626
s1,0.0005,0.0005,0,3653983164
s1,0.0005,0.0005,1,4040462090
s1,0.0005,0.0005,2,4111035039
s1,0.0005,0.0005,3,1638877010
s1,0.0005,0.0005,4,531272005
s1,0.0005,0.0005,5,2441199664
s1,0.0005,0.0005,6,3857679644
s1,0.0005,0.0005,7,4283740530
s1,0.0005,0.0005,8,2755010327
s1,0.0005,0.0005,9,483319437
s1,0.0005,0.002,0,147472613
s1,0.0005,0.002,1,2714819504
s1,0.0005,0.002,2,1059331754
s1,0.0005,0.002,3,1474477666
s1,0.0005,0.002,4,1751783844
s1,0.0005,0.002,5,1214611834
s1,0.0005,0.002,6,42200867
s1,0.0005,0.002,7,3963070252
s1,0.0005,0.002,8,2258427187
s1,0.0005,0.002,9,2039250953
s1,0.0005,0.005,0,2515702478
s1,0.0005,0.005,1,2879552784
s1,0.0005,0.005,2,89390504
s1,0.0005,0.005,3,648503710
s1,0.0005,0.005,4,3396419123
s1,0.0005,0.005,5,3500103699
s1,0.0005,0.005,6,2931730298
s1,0.0005,0.005,7,515432858
s1,0.0005,0.005,8,441883736
s1,0.0005,0.005,9,2306299166
s1,0.0002,0.0001,0,86952655
s1,0.0002,0.0001,1,3396200890
s1,0.0002,0.0001,2,730235784
s1,0.0002,0.0001,3,194812985
s1,0.0002,0.0001,4,2505815528
s1,0.0002,0.0001,5,2615619490
s1,0.0002,0.0001,6,4003458481
s1,0.0002,0.0001,7,1018713585
s1,0.0002,0.0001,8,2739154036
s1,0.0002,0.0001,9,3846031330
s1,0.0,0.003,0,2721564651
s1,0.0,0.003,1,2510968746
s1,0.0,0.003,2,1303313803
s1,0.0,0.003,3,1048564406
s1,0.0,0.003,4,1816653569
s1,0.0,0.003,5,788036706
s1,0.0,0.003,6,3492631995
s1,0.0,0.003,7,3579753199
s1,0.0,0.003,8,48637464
s1,0.0,0.003,9,487361832
s1,0.0,0.0002,0,120322881
s1,0.0,0.0002,1,2646652862
s1,0.0,0.0002,2,2612441706
s1,0.0,0.0002,3,177118233
s1,0.0,0.0002,4,2887700525
s1,0.0,0.0002,5,1860281795
s1,0.0,0.0002,6,1082540585
s1,0.0,0.0002,7,1169107380
s1,0.0,0.0002,8,2882010986
s1,0.0,0.0002,9,3483297627
s1,0.0002,0.003,0,29953032
s1,0.0002,0.003,1,2007148010
s1,0.0002,0.003,2,3224428711
s1,0.0002,0.003,3,1089857444
s1,0.0002,0.003,4,3714068256
s1,0.0002,0.003,5,1675140819
s1,0.0002,0.003,6,332738121
s1,0.0002,0.003,7,3175286415
s1,0.0002,0.003,8,2482306886
s1,0.0002,0.003,9,100338437
s1,0.0,0.005,0,2904651897
s1,0.0,0.005,1,3162205247
s1,0.0,0.005,2,3786624654
s1,0.0,0.005,3,1990428375
s1,0.0,0.005,4,2329057776
s1,0.0,0.005,5,2507390508
s1,0.0,0.005,6,2087165107
s1,0.0,0.005,7,1202334647
s1,0.0,0.005,8,4103810426
s1,0.0,0.005,9,659324409
s1,0.0002,0.001,0,2424178392
s1,0.0002,0.001,1,2937251331
s1,0.0002,0.001,2,293855406
s1,0.0002,0.001,3,1230686355
s1,0.0002,0.001,4,3496505255
s1,0.0002,0.001,5,2065890923
s1,0.0002,0.001,6,354876877
s1,0.0002,0.001,7,4035505092
s1,0.0002,0.001,8,3482261044
s1,0.0002,0.001,9,2194981003
s1,0.0005,0.003,0,1420958956
s1,0.0005,0.003,1,2368260363
s1,0.0005,0.003,2,1692861597
s1,0.0005,0.003,3,82280282
s1,0.0005,0.003,4,3859009553
s1,0.0005,0.003,5,2404782736
s1,0.0005,0.003,6,2537079404
s1,0.0005,0.003,7,1456936212
s1,0.0005,0.003,8,2797103054
s1,0.0005,0.003,9,2475474337
s1,0.0002,0.005,0,1219541637
s1,0.0002,0.005,1,3374224856
s1,0.0002,0.005,2,976891752
s1,0.0002,0.005,3,3807556318
s1,0.0002,0.005,4,1243562079
s1,0.0002,0.005,5,649844457
s1,0.0002,0.005,6,1822573366
s1,0.0002,0.005,7,625863714
s1,0.0002,0.005,8,3206982699
s1,0.0002,0.005,9,2119777494
s1,0.0002,0.0,0,680343048
s1,0.0002,0.0,1,33290120
s1,0.0002,0.0,2,4095855747
s1,0.0002,0.0,3,3258068644
s1,0.0002,0.0,4,3622454747
s1,0.0002,0.0,5,3812486803
s1,0.0002,0.0,6,2032802336
s1,0.0002,0.0,7,2419167117
s1,0.0002,0.0,8,2111192109
s1,0.0002,0.0,9,1030879894
s1,0.0,0.002,0,3446918627
s1,0.0,0.002,1,3128743369
s1,0.0,0.002,2,726841212
s1,0.0,0.002,3,3045045145
s1,0.0,0.002,4,3892988111
s1,0.0,0.002,5,1761807908
s1,0.0,0.002,6,3128252706
s1,0.0,0.002,7,2030292229
s1,0.0,0.002,8,3155327569
s1,0.0,0.002,9,1311508399
s1,0.0005,0.0002,0,1569003687
s1,0.0005,0.0002,1,2194648049
s1,0.0005,0.0002,2,1701127692
s1,0.0005,0.0002,3,3649747322
s1,0.0005,0.0002,4,1842319611
s1,0.0005,0.0002,5,1514652255
s1,0.0005,0.0002,6,2862099853
s1,0.0005,0.0002,7,3937303718
s1,0.0005,0.0002,8,3556817051
s1,0.0005,0.0002,9,1277312338
s1,0.0,0.0005,0,1957712699
s1,0.0,0.0005,1,4064430388
s1,0.0,0.0005,2,1794695698
s1,0.0,0.0005,3,596327214
s1,0.0,0.0005,4,1410315820
s1,0.0,0.0005,5,639162760
s1,0.0,0.0005,6,559139542
