scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s1,random,10240,0,0.0,0.0,0.0,1,1,1.0,1.0,10240,40,40,44960,1.8220640569395017,1.09765625,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,0
s1,random,10240,1,0.0,0.0,0.0,1,1,1.0,1.0,10240,40,40,44960,1.8220640569395017,1.09765625,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,0
s1,random,10240,2,0.0,0.0,0.0,1,1,1.0,1.0,10240,40,40,44960,1.8220640569395017,1.09765625,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,0
s1,random,10240,3,0.0,0.0,0.0,1,1,1.0,1.0,10240,40,40,44960,1.8220640569395017,1.09765625,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,0
s1,random,10240,4,0.0,0.0,0.0,1,1,1.0,1.0,10240,40,40,44960,1.8220640569395017,1.09765625,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,0
s1,random,10240,5,0.0,0.0,0.0,1,1,1.0,1.0,10240,40,40,44960,1.8220640569395017,1.09765625,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,0
s1,random,10240,6,0.0,0.0,0.0,1,1,1.0,1.0,10240,40,40,44960,1.8220640569395017,1.09765625,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,0
s1,random,10240,7,0.0,0.0,0.0,1,1,1.0,1.0,10240,40,40,44960,1.8220640569395017,1.09765625,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,0
s1,random,10240,8,0.0,0.0,0.0,1,1,1.0,1.0,10240,40,40,44960,1.8220640569395017,1.09765625,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,0
s1,random,10240,9,0.0,0.0,0.0,1,1,1.0,1.0,10240,40,40,44960,1.8220640569395017,1.09765625,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,0
s1,random,10240,0,0.0,5e-05,5e-05,1,0,0.775,0.775,7936,40,31,44960,1.412099644128114,1.09765625,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,5691b7fe28e9b82f264765e1333233bfb977f34a15cc8f99ff5610b3bd3c7a58,9
s1,random,10240,1,0.0,5e-05,5e-05,1,0,0.8,0.8,8192,40,32,44960,1.4576512455516015,1.09765625,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,5b89d48d5c813cafeb5f913ea13ed2416d81acd51ac41e1b7a375f3e3b290a55,8
s1,random,10240,2,0.0,5e-05,5e-05,1,0,0.925,0.925,9472,40,37,44960,1.6854092526690392,1.09765625,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,ab09905cd546b05078ace0071539c670dfde920246a1b3f75240b0cba7e0b529,3
s1,random,10240,3,0.0,5e-05,5e-05,1,0,0.875,0.875,8960,40,35,44960,1.594306049822064,1.09765625,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,209297e38deb2f1965ebab9f374a4306e031e274aaa78935fbc6c9ddb6ff5de5,5
s1,random,10240,4,0.0,5e-05,5e-05,1,0,0.85,0.85,8704,40,34,44960,1.5487544483985765,1.09765625,e4079c88875af5ecb60a3b256076f97bf65a7a03ba9efc931f0f5822785dfbff,6922a384630b4fa88759e736cfed3848af877567c1f7986cf1321c66f049b742,6
