scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s2,random,51200,0,0.0005,0.0,0.0,1,0,0.395,0.395,20224,200,79,337200,0.47981020166073546,1.646484375,fe26be6f6ede7d115fad30c6edfb940885d7fa32218d04c918a604ccaba3e908,66a122748a18ec9c7495b1dfb44bf88d77d39791d768a1a21cfc6da5f54c81ce,121
s2,random,51200,1,0.0005,0.0,0.0,1,0,0.42,0.42,21504,200,84,337200,0.5101779359430605,1.646484375,fe26be6f6ede7d115fad30c6edfb940885d7fa32218d04c918a604ccaba3e908,273800d6a2a39fc90dc40cc3cd935074b1a8cde0d9b2932d99f2f6f11219d1f3,116
s2,random,51200,2,0.0005,0.0,0.0,1,0,0.39,0.395,20224,200,79,337200,0.47981020166073546,1.646484375,fe26be6f6ede7d115fad30c6edfb940885d7fa32218d04c918a604ccaba3e908,46b9bc6c1fedca518215804c17c49b07c76e1f20782363489d2daaa30ac03a7e,121
s2,random,51200,3,0.0005,0.0,0.0,1,0,0.445,0.445,22784,200,89,337200,0.5405456702253856,1.646484375,fe26be6f6ede7d115fad30c6edfb940885d7fa32218d04c918a604ccaba3e908,dd34b3cb6f7465bffeefbaf4b569d4bf4b365fc258165694ee04bc2e7a0260d6,111
s2,random,51200,4,0.0005,0.0,0.0,1,0,0.43,0.43,22016,200,86,337200,0.5223250296559905,1.646484375,fe26be6f6ede7d115fad30c6edfb940885d7fa32218d04c918a604ccaba3e908,44cbf31deb38600e3ef0d1253b8f03f4f7ba12ac70cf7207827ad3dc8b132676,114
s2,random,51200,5,0.0005,0.0,0.0,1,0,0.43,0.43,22016,200,86,337200,0.5223250296559905,1.646484375,fe26be6f6ede7d115fad30c6edfb940885d7fa32218d04c918a604ccaba3e908,1ecf1141c52e3f5405a3ba2474229192710f3b57edcfb3f743fffc09af45e669,114
s2,random,51200,6,0.0005,0.0,0.0,1,0,0.425,0.43,22016,200,86,337200,0.5223250296559905,1.646484375,fe26be6f6ede7d115fad30c6edfb940885d7fa32218d04c918a604ccaba3e908,67408ea4aecf57234b033176ee99a6925c7ff894002e9a8e8d11b3763eb02327,114
s2,random,51200,7,0.0005,0.0,0.0,1,0,0.415,0.415,21248,200,83,337200,0.5041043890865955,1.646484375,fe26be6f6ede7d115fad30c6edfb940885d7fa32218d04c918a604ccaba3e908,befcc4973b0560eeb91763af25250c38599455e58fb9396c2f562887615615e6,117
s2,random,51200,8,0.0005,0.0,0.0,1,0,0.41,0.41,20992,200,82,337200,0.4980308422301305,1.646484375,fe26be6f6ede7d115fad30c6edfb940885d7fa32218d04c918a604ccaba3e908,8048454d207518ed7f5cb7e645eff98ac65e0d4fb54fdfdace1e923727d390be,118
s2,random,51200,9,0.0005,0.0,0.0,1,0,0.45,0.45,23040,200,90,337200,0.5466192170818506,1.646484375,fe26be6f6ede7d115fad30c6edfb940885d7fa32218d04c918a604ccaba3e908,bdb91148b0a47c5bb5ecf5fd32ca7fcc93089d3cc864134ce5a8b5c29af68fb2,110
