scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s1,random,104857,0,0.0005,5e-05,5e-05,1,0,0.056152665058126786,0.05853658536585366,6144,410,24,460428,0.10675284735072585,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,266289d59230d7b80be78a28255afee9adc71ca9689c01b0993177aae07ee607,386
s1,random,104857,1,0.0005,5e-05,5e-05,1,0,0.05272895467160037,0.05609756097560976,5785,410,23,460428,0.10051517283918442,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,fc916d1a7a3fb95fc424fa0649d64db240b50faf8ec29a40d2f1120d5fd371f1,387
s1,random,104857,2,0.0005,5e-05,5e-05,1,0,0.065918345937801,0.07073170731707316,7321,410,29,460428,0.12720338467686587,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,d9d42faa0922eae5b94dace0394b6036a6ba55b32dbcaa8f1fadfe5afc121ae4,381
s1,random,104857,3,0.0005,5e-05,5e-05,1,0,0.04882840439837111,0.05121951219512195,5376,410,21,460428,0.09340874143188511,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,e0cb5542295b22750864379415fba6362fba7e3a1675812f8ae188ab5fbc968c,389
s1,random,104857,4,0.0005,5e-05,5e-05,1,0,0.043945563958534,0.04878048780487805,5120,410,20,460428,0.08896070612560487,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,d9acb7323cd3105076f148cc04ec73f93e6d15873d7a98a6c823994bde43eeba,390
s1,random,104857,5,0.0005,5e-05,5e-05,1,0,0.04638698417845256,0.04878048780487805,5120,410,20,460428,0.08896070612560487,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,661f26d73da3322fd9b610fc3274181088657cd4e024a573d1937c4140f3db46,390
s1,random,104857,6,0.0005,5e-05,5e-05,1,0,0.05371124483820822,0.05365853658536585,5632,410,22,460428,0.09785677673816535,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,9f7f72202087e841b398570e6bdeadb136185fabc51803fea5739ab36cc8d5df,388
s1,random,104857,7,0.0005,5e-05,5e-05,1,0,0.05128889821375778,0.05365853658536585,5632,410,22,460428,0.09785677673816535,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,96a09cd00e0f31fb459102cbe9ee16a3331cfc2c8c1c66ae57af2f5be986db59,387
s1,random,104857,8,0.0005,5e-05,5e-05,1,0,0.06347692571788245,0.06585365853658537,6912,410,27,460428,0.12009695326956658,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,36e17dec8736fe59f44fc7983a234aa31f50f4c1954327d0969e3c54b452b8be,383
s1,random,104857,9,0.0005,5e-05,5e-05,1,0,0.04052185357200759,0.046341463414634146,4761,410,19,460428,0.08272303161406344,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,0cda6d859a0550e85337befcd2e15a04b24c67f18fc487f5829b37d5319f135f,391
s1,random,104857,0,0.0002,5e-05,5e-05,1,0,0.0781445206328619,0.08048780487804878,8448,410,33,460428,0.14678516510724804,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,53c1b296df33e7b7715699649cf0bf7b1b1f4a8ad34cc9c8464b5bce708d3964,376
s1,random,104857,1,0.0002,5e-05,5e-05,1,0,0.087891127917068,0.09268292682926829,9728,410,38,460428,0.16902534163864927,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,1ad1b0e3a0f60fd7c2a9b8c2c4d3ac57d8543405adc4ea5cfbb2a263c14bb41e,372
s1,random,104857,2,0.0002,5e-05,5e-05,1,0,0.061035505497963896,0.06097560975609756,6400,410,25,460428,0.11120088265700609,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,ed14af82a3959a27485d81aea1f755d44e46a57d2c072d3e462512b28cbdb4df,385
s1,random,104857,3,0.0002,5e-05,5e-05,1,0,0.05272895467160037,0.05365853658536585,5529,410,22,460428,0.09606713753290416,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,42487c18eafc6da61ff192acd2b9b388c0f6f3874b7452242ad8dae00fd6292a,388
s1,random,104857,4,0.0002,5e-05,5e-05,1,0,0.07812544703739378,0.08048780487804878,8448,410,33,460428,0.14678516510724804,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,e3609549eb90aad8eba71585747d60b8c7022bec7c6b8bf5abfa8f31a6aad079,377
s1,random,104857,5,0.0002,5e-05,5e-05,1,0,0.07324260659755667,0.07317073170731707,7680,410,30,460428,0.13344105918840732,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,86f7ef4d460d330c067579b9a89012ba095d40feb14e9af62ea6d66726a55d3f,380
s1,random,104857,6,0.0002,5e-05,5e-05,1,0,0.05517037489151892,0.05609756097560976,5785,410,23,460428,0.10051517283918442,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,b2ee6a5ef6b1c45942b166596f1b35e2c623f65367dc6485781fd02fc31c9b0e,387
s1,random,104857,7,0.0002,5e-05,5e-05,1,0,0.065918345937801,0.07073170731707316,7424,410,29,460428,0.12899302388212708,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,d84c8c1f120f2393511e994fc1ded1d3ddce7993fb814a0a1d56f9c53c489730,381
s1,random,104857,8,0.0002,5e-05,5e-05,1,0,0.06347692571788245,0.06585365853658537,6912,410,27,460428,0.12009695326956658,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,48e57b2c38f0dad33d67561fa1b4baa390b0875993fc976d753d43918ec52394,383
s1,random,104857,9,0.0002,5e-05,5e-05,1,0,0.04882840439837111,0.05365853658536585,5632,410,22,460428,0.09785677673816535,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,6c541c19e7295efb4c242ac4c4324fba54f71e1cd1a570622c370383af8b6042,388
s1,random,104857,0,0.0002,0.0001,0.0001,1,0,0.05371124483820822,0.05365853658536585,5632,410,22,460428,0.09785677673816535,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,e46b23de2c20ae3730a49d5bc31cd13b291a73db46b4e70891459b6077a27995,388
s1,random,104857,1,0.0002,0.0001,0.0001,1,0,0.06835976615771956,0.06829268292682927,7168,410,28,460428,0.12454498857584682,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,f1e23481e74cfe3dfd61b9350d96dfa772fc4d47676cf8faa34192343984c878,382
s1,random,104857,2,0.0002,0.0001,0.0001,1,0,0.07470173665086738,0.07560975609756097,7833,410,31,460428,0.13609945528942635,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,5b5d0f38e06629517a3e87471cc06a57f8a28f4e4d839d21c953f550c93c3c9a,379
s1,random,104857,3,0.0002,0.0001,0.0001,1,0,0.07568402681747523,0.07560975609756097,7936,410,31,460428,0.13788909449468756,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,82a23b6a0a8db7e855718b54c2a1c887581eb99fcad4066885344ccf5942fa8c,379
s1,random,104857,4,0.0002,0.0001,0.0001,1,0,0.06981889621103025,0.07317073170731707,7577,410,30,460428,0.1316514199831461,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,e7aaa556d79b0fc65600feffd04af959353ca6d8e513dc7a017071069c7bd05b,380
s1,random,104857,5,0.0002,0.0001,0.0001,1,0,0.06493605577119314,0.06585365853658537,6809,410,27,460428,0.11830731406430539,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,159265f3deed49d92c60264edb9893fede7da5f694f507ea6837729d9456cae1,383
s1,random,104857,6,0.0002,0.0001,0.0001,1,0,0.07324260659755667,0.07317073170731707,7680,410,30,460428,0.13344105918840732,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,b32e547ebf4c6d616b2f59cc64534955d3039139ec3505d7b970fcc4e853d1a2,380
