scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s3,random,104857,0,0.0,0.0001,0.0001,3,0,0.6543006189381729,0.6536585365853659,68608,410,268,3404070,0.1612375773706181,8.115981765642733,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,4fe964e184474694ae751c4b49158f65fc6871f2cd4822f7b2144a0e816cc75d,130
s3,random,104857,1,0.0,0.0001,0.0001,3,0,0.653318328771565,0.6536585365853659,68505,410,268,3404070,0.1609955141933039,8.115981765642733,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,8610978abee11499a3ee4a3a20229afdbacf1b2d65ea21dc48e2b832fae9aee8,139
s3,random,104857,2,0.0,0.0001,0.0001,3,0,0.6630840096512393,0.6634146341463415,69529,410,272,3404070,0.1634020451988355,8.115981765642733,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,97832cd23369261239a9ae781786762d408314fd6daeca80388ef2e98b4a199d,134
s3,random,104857,3,0.0,0.0001,0.0001,3,0,0.6459940681118094,0.6463414634146342,67737,410,265,3404070,0.15919061593915518,8.115981765642733,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,81d30a5416748a29f432ae573c375dedc40ada40db95bcfadd7e6cfcda282e1f,125
s3,random,104857,4,0.0,0.0001,0.0001,3,0,0.6850567916305063,0.6853658536585366,71833,410,281,3404070,0.16881673996128163,8.115981765642733,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,0f457caf77eeff0409fdec0d00deef9c6d7b946f53e0c1948a732aa3703caea0,118
s3,random,104857,5,0.0,0.0001,0.0001,3,0,0.6777325309707506,0.6780487804878049,71065,410,278,3404070,0.16701184170713293,8.115981765642733,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,0cbbb8af24f81948d6e86877376de6c42050007bcd914f151fbfb6b555afeb7f,123
s3,random,104857,6,0.0,0.0001,0.0001,3,0,0.6411112276719723,0.6414634146341464,67225,410,263,3404070,0.15798735043638937,8.115981765642733,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,79eaaa1a27c474f393d382010d1ba3af6322cfff47be08ac18e43d7145e1975b,124
s3,random,104857,7,0.0,0.0001,0.0001,3,0,0.6923810522902619,0.6926829268292682,72601,410,284,3404070,0.17062163821543036,8.115981765642733,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,dfc58950f00c4b053e1d0247788d330cd69dc4ff1bc7c6dc18439c988e813469,131
s3,random,104857,8,0.0,0.0001,0.0001,3,0,0.675291110750832,0.675609756097561,70809,410,277,3404070,0.16641020895575004,8.115981765642733,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,092121b8153f41c010b09f8558051a5cfa7fea13fe4240485b68f1c9f91ce921,125
s3,random,104857,9,0.0,0.0001,0.0001,3,0,0.7314437758089589,0.7317073170731707,76697,410,300,3404070,0.1802477622375568,8.115981765642733,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,11656907f7e1998df8707dd42b5fd0c8163abd1ea6323a1dc6bd3543567b4ff8,113
