scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s1,random,524288,0,0.0,0.0,0.0,1,0,0.09668350219726562,0.099609375,52224,2048,204,2301952,0.18149466192170818,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,2a7a4cd2d06e4971e1c29d7dc074f64356571054bed346e627cbc2a4f3fb86be,1842
s1,random,524288,1,0.0,0.0,0.0,1,0,0.08837890625,0.0908203125,47616,2048,186,2301952,0.16548042704626334,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,724dac3647d239a364b4fe5dd50fb114339483746101da5b3f867304d8fba825,1862
s1,random,524288,2,0.0,0.0,0.0,1,0,0.08984947204589844,0.0927734375,48640,2048,190,2301952,0.16903914590747332,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,11b4b6c009b3b5816db2a4630b18092259de108fbca9a5fe6064400f48571031,1856
s1,random,524288,3,0.0,0.0,0.0,1,0,0.09130859375,0.09375,49152,2048,192,2301952,0.1708185053380783,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,912edc59cac819b6fae87f7e331f37779b3b72ffbf40c43f9e9b93ba5deb4e45,1855
s1,random,524288,4,0.0,0.0,0.0,1,0,0.09473228454589844,0.0986328125,51712,2048,202,2301952,0.1797153024911032,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,a25952032b3a00d1452c3125880f5786d84bac8b38618eb64727b7a055aad66f,1845
s1,random,524288,5,0.0,0.0,0.0,1,0,0.09131813049316406,0.0947265625,49664,2048,194,2301952,0.17259786476868327,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,2c74b858b3747888e7a7ba7606ac013a184685a09421eff17a8d03eba2034d83,1851
s1,random,524288,6,0.0,0.0,0.0,1,0,0.09619140625,0.0986328125,51712,2048,202,2301952,0.1797153024911032,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,ab7d9de12c1c1713988f1119cea4ae4695647f45af81437362312782fa3eee43,1845
s1,random,524288,7,0.0,0.0,0.0,1,0,0.08057022094726562,0.0830078125,43520,2048,170,2301952,0.1512455516014235,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,53991507efdb794e76c8e872851efefb481712518f796ba99243d726f0bb487c,1875
s1,random,524288,8,0.0,0.0,0.0,1,0,0.09375190734863281,0.09619140625,50432,2048,197,2301952,0.17526690391459074,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,a7bef96ee3b86dca56e973e7374aae240b894bc4029aa9c5fd081be94b5effbd,1849
s1,random,524288,9,0.0,0.0,0.0,1,0,0.091796875,0.095703125,50176,2048,196,2301952,0.17437722419928825,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,af43af130e9afbf6732d3c5ab3cdc57ae268438906d36883312571ba16fc6f23,1852
