scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s2,random,524288,0,0.0,0.00025,0.00025,1,0,0.01123046875,0.01171875,6144,2048,24,3452928,0.014234875444839857,1.646484375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,fec50f87a5605652265f6e4d58183123f90a3dc18b5fbff8774d290dc77be0bf,2024
s2,random,524288,1,0.0,0.00025,0.00025,1,0,0.0146484375,0.0146484375,7680,2048,30,3452928,0.017793594306049824,1.646484375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0ec610abff818c373c36b043edc34d82845c50702cf1dfabc9a868fcd01dd931,2018
s2,random,524288,2,0.0,0.00025,0.00025,1,0,0.01416015625,0.01416015625,7424,2048,29,3452928,0.01720047449584816,1.646484375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,171eb9fdabe9b246563075e844bbe0afcbc8cd04dd6af02b56530cb6223401d9,2019
s2,random,524288,3,0.0,0.00025,0.00025,1,0,0.01171875,0.01171875,6144,2048,24,3452928,0.014234875444839857,1.646484375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,aba2ff0dabf46c7dd3e8fc8bfba0b3b593ac0a2ece9a4061f0fd2bac3de24702,2024
s2,random,524288,4,0.0,0.00025,0.00025,1,0,0.0087890625,0.00927734375,4864,2048,19,3452928,0.011269276393831554,1.646484375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,a5d675f2ebaa31ec529b27f494c39867ce34955a6057c75b27fc8ebd09bba960,2029
s2,random,524288,5,0.0,0.00025,0.00025,1,0,0.00927734375,0.009765625,5120,2048,20,3452928,0.011862396204033215,1.646484375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,152730d0c0c2e9776895d475197a670064001d5acba48be89d1e5083edce496c,2027
s2,random,524288,6,0.0,0.00025,0.00025,1,0,0.013671875,0.01416015625,7424,2048,29,3452928,0.01720047449584816,1.646484375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,6ccbbb7eeddd60e9238d9ade2989329e96586b221bb10d719b34389579b8d48f,2019
s2,random,524288,7,0.0,0.00025,0.00025,1,0,0.01416015625,0.0146484375,7680,2048,30,3452928,0.017793594306049824,1.646484375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,aeb8f29a63a4049baa9b7bd183a911b9df383899b6bbb696e92f2376b8b4a7b0,2018
s2,random,524288,8,0.0,0.00025,0.00025,1,0,0.01318359375,0.01318359375,6912,2048,27,3452928,0.01601423487544484,1.646484375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,c709977ac4047461e08924e858cb210f318db3a8d362cdc264a9aff2f81ba7f0,2021
s2,random,524288,9,0.0,0.00025,0.00025,1,0,0.01025390625,0.01123046875,5888,2048,23,3452928,0.013641755634638196,1.646484375,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,b7ad7bf3d2da1b1177238800b7a8518ea504e163bf4dadedbccfc4a7a6df73a2,2025
