scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s1,random,524288,0,0.002,0.0001,0.0001,1,0,0.0078125,0.0078125,4096,2048,16,2301952,0.014234875444839857,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,b7a8ca30d865b4c9febdb100d5af3d11e76d3dccd192a62ceea250bc79fd2133,2032
s1,random,524288,1,0.002,0.0001,0.0001,1,0,0.0078125,0.0078125,4096,2048,16,2301952,0.014234875444839857,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,41e316b9af74e111948ae2cbb095e395562abb25567aeea392b4e6db6231449c,2032
s1,random,524288,2,0.002,0.0001,0.0001,1,0,0.0078125,0.0078125,4096,2048,16,2301952,0.014234875444839857,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,23656b0af5577d97cde9a4d8737f5760a95cd611d3e345f88a19f60a5bc1ca15,2032
s1,random,524288,3,0.002,0.0001,0.0001,1,0,0.01123046875,0.01171875,6144,2048,24,2301952,0.021352313167259787,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,740f848f2308806ac2fba8c51e711af60a8197011b0e0a7c819d53dd7f214edf,2024
s1,random,524288,4,0.002,0.0001,0.0001,1,0,0.00830078125,0.00927734375,4864,2048,19,2301952,0.016903914590747332,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,14a0f8220dc8e08c3492514031b3fe06b809b5b9e8bdbd45372ff50470b3a021,2029
s1,random,524288,5,0.002,0.0001,0.0001,1,0,0.01172637939453125,0.01318359375,6912,2048,27,2301952,0.02402135231316726,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0a48e848bebeb0792d83ad2e0f00364c014997e88b0f60524b96168045f6372f,2020
s1,random,524288,6,0.002,0.0001,0.0001,1,0,0.005859375,0.005859375,3072,2048,12,2301952,0.010676156583629894,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,46ac4277220d51ed895ac1b295465f7aa972966ce87f3ffec3bf4ef66d8102aa,2036
s1,random,524288,7,0.002,0.0001,0.0001,1,0,0.01025390625,0.01123046875,5888,2048,23,2301952,0.020462633451957295,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,05e958950bb49e70a41568b6584b3eae831fb2ddc3d2cb51f4f5a2e82978d3e8,2025
s1,random,524288,8,0.002,0.0001,0.0001,1,0,0.007328033447265625,0.0087890625,4608,2048,18,2301952,0.01601423487544484,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8e4af282bee7a40cebba46d4671e8082c5adae44c816af3808e1c2a7d5ac7454,2030
s1,random,524288,9,0.002,0.0001,0.0001,1,0,0.0078125,0.0078125,4096,2048,16,2301952,0.014234875444839857,1.09765625,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,6fbf93bf40818cd26a79807b27d9e9ada2278ed530100b8801ed6172820eec58,2032
