scheme,p_sub,p_ins,p_del,success_mean,effective_bits_per_base_mean,overhead_mean,trials
s1,0.0,0.0,0.0,0.0,0.1719750889679715,1.09765625,10
s1,0.0,5e-05,5e-05,0.0,0.1554270462633452,1.09765625,10
s1,0.0,0.0001,0.0001,0.0,0.1346975088967971,1.09765625,10
s1,0.0,0.00025,0.00025,0.0,0.095729537366548,1.09765625,10
s1,0.0002,0.0,0.0,0.0,0.1314056939501779,1.09765625,10
s2,0.0,0.0,0.0,0.0,0.0298932384341637,1.646484375,10
s2,0.0,5e-05,5e-05,0.0,0.0242586002372479,1.646484375,10
s2,0.0,0.0001,0.0001,0.0,0.0223606168446026,1.646484375,10
s2,0.0,0.00025,0.00025,0.0,0.0151245551601423,1.646484375,10
s2,0.0002,0.0,0.0,0.0,0.0215302491103202,1.646484375,10
s3,0.0,0.0,0.0,0.0,0.217653429602888,8.115234375,10
s3,0.0,5e-05,5e-05,0.0,0.1921660649819494,8.115234375,10
s3,0.0,0.0001,0.0001,0.0,0.1656558363417569,8.115234375,10
s3,0.0,0.00025,0.00025,0.0,0.0942358604091456,8.115234375,10
s3,0.0002,0.0,0.0,0.0,0.2149338146811071,8.115234375,10
