scheme,p_sub,p_ins,p_del,success_mean,effective_bits_per_base_mean,overhead_mean,trials
s1,0.0,0.0,0.0,0.0,1.226980114154656,1.0977521767740828,8
s1,0.0,5e-05,5e-05,0.0,1.1333541834988317,1.0977521767740828,8
s1,0.0,0.0001,0.0001,0.0,0.9944616747895436,1.0977521767740828,8
s1,0.0,0.00025,0.00025,0.0,0.7030067676162179,1.0977521767740828,8
s1,0.0,0.0005,0.0005,0.0,0.3801919083982729,1.0977521767740828,8
s2,0.0,0.0,0.0,0.0,0.684102617564527,1.646628265161124,8
s2,0.0,5e-05,5e-05,0.0,0.5926239643693838,1.646628265161124,8
s2,0.0,0.0001,0.0001,0.0,0.4942473814219233,1.646628265161124,8
s2,0.0,0.00025,0.00025,0.0,0.2923815811954674,1.646628265161124,8
s2,0.0,0.0005,0.0005,0.0,0.1282516846644137,1.646628265161124,8
s3,0.0,0.0,0.0,0.0,0.1391995346656254,10.14887894942636,8
s3,0.0,5e-05,5e-05,0.0,0.1345687434750291,10.14887894942636,8
s3,0.0,0.0001,0.0001,0.0,0.1101877876038004,10.14887894942636,8
s3,0.0,0.00025,0.00025,0.0,0.0488213471204616,10.14887894942636,8
s3,0.0,0.0005,0.0005,0.0,0.0128575402116745,10.14887894942636,8
