scheme,p_sub,p_indel,trial,seed
s1,0.0,0.0,0,3458597231
s1,0.0,0.0,1,1277910808
s1,0.0,0.0,2,583549218
s1,0.0,0.0,3,2150906426
s1,0.0,0.0,4,3065260267
s1,0.0,0.0,5,25061201
s1,0.0,0.0,6,3179809515
s1,0.0,0.0,7,2919384468
s1,0.0,0.0001,0,3997059713
s1,0.0,0.0001,1,1114073604
s1,0.0,0.0001,2,2895957071
s1,0.0,0.0001,3,3429800754
s1,0.0,0.0001,4,2450188624
s1,0.0,0.0001,5,4207731508
s1,0.0,0.0001,6,1556750838
s1,0.0,0.0001,7,2908264698
s1,0.0,0.0002,0,120322881
s1,0.0,0.0002,1,2646652862
s1,0.0,0.0002,2,2612441706
s1,0.0,0.0002,3,177118233
s1,0.0,0.0002,4,2887700525
s1,0.0,0.0002,5,1860281795
s1,0.0,0.0002,6,1082540585
s1,0.0,0.0002,7,1169107380
s1,0.0,0.0005,0,1957712699
s1,0.0,0.0005,1,4064430388
s1,0.0,0.0005,2,1794695698
s1,0.0,0.0005,3,596327214
s1,0.0,0.0005,4,1410315820
s1,0.0,0.0005,5,639162760
s1,0.0,0.0005,6,559139542
s1,0.0,0.0005,7,3507893062
s1,0.0,0.001,0,2647613311
s1,0.0,0.001,1,2871553253
s1,0.0,0.001,2,2121237449
s1,0.0,0.001,3,118397434
s1,0.0,0.001,4,4271370308
s1,0.0,0.001,5,2783722409
s1,0.0,0.001,6,3604147668
s1,0.0,0.001,7,2520716699
s1,0.0005,0.0,0,2839953338
s1,0.0005,0.0,1,4041995252
s1,0.0005,0.0,2,3792723229
s1,0.0005,0.0,3,2944929190
s1,0.0005,0.0,4,4222229549
s1,0.0005,0.0,5,1564331543
s1,0.0005,0.0,6,158546678
s1,0.0005,0.0,7,3616762256
s1,0.0005,0.0001,0,1184107434
s1,0.0005,0.0001,1,1449707842
s1,0.0005,0.0001,2,3497644002
s1,0.0005,0.0001,3,3225277186
s1,0.0005,0.0001,4,804479297
s1,0.0005,0.0001,5,3463412960
s1,0.0005,0.0001,6,1677777375
s1,0.0005,0.0001,7,1684209489
s1,0.0005,0.0002,0,1569003687
s1,0.0005,0.0002,1,2194648049
s1,0.0005,0.0002,2,1701127692
s1,0.0005,0.0002,3,3649747322
s1,0.0005,0.0002,4,1842319611
s1,0.0005,0.0002,5,1514652255
s1,0.0005,0.0002,6,2862099853
s1,0.0005,0.0002,7,3937303718
s1,0.0005,0.0005,0,3653983164
s1,0.0005,0.0005,1,4040462090
s1,0.0005,0.0005,2,4111035039
s1,0.0005,0.0005,3,1638877010
s1,0.0005,0.0005,4,531272005
s1,0.0005,0.0005,5,2441199664
s1,0.0005,0.0005,6,3857679644
s1,0.0005,0.0005,7,4283740530
s1,0.0005,0.001,0,4204599038
s1,0.0005,0.001,1,3499815786
s1,0.0005,0.001,2,3626737211
s1,0.0005,0.001,3,1485620378
s1,0.0005,0.001,4,2682241927
s1,0.0005,0.001,5,1992623257
s1,0.0005,0.001,6,1447566609
s1,0.0005,0.001,7,3756405676
s1,0.001,0.0,0,855501072
s1,0.001,0.0,1,3517021474
s1,0.001,0.0,2,1950666169
s1,0.001,0.0,3,473272635
s1,0.001,0.0,4,589040926
s1,0.001,0.0,5,1932634312
s1,0.001,0.0,6,568017843
s1,0.001,0.0,7,3564093248
s1,0.001,0.0001,0,3784799374
s1,0.001,0.0001,1,2832934119
s1,0.001,0.0001,2,26727853
s1,0.001,0.0001,3,2751991574
s1,0.001,0.0001,4,805059644
s1,0.001,0.0001,5,3913636746
s1,0.001,0.0001,6,3850460292
s1,0.001,0.0001,7,3845032302
s1,0.001,0.0002,0,2769228422
s1,0.001,0.0002,1,3272032489
s1,0.001,0.0002,2,1021989077
s1,0.001,0.0002,3,2938901586
s1,0.001,0.0002,4,1712052512
s1,0.001,0.0002,5,2353384335
s1,0.001,0.0002,6,906679171
s1,0.001,0.0002,7,133995056
s1,0.001,0.0005,0,2517673358
s1,0.001,0.0005,1,1098714193
s1,0.001,0.0005,2,4165064351
s1,0.001,0.0005,3,2015358805
s1,0.001,0.0005,4,3112630946
s1,0.001,0.0005,5,3483407453
s1,0.001,0.0005,6,622654619
s1,0.001,0.0005,7,3850337619
s1,0.001,0.001,0,3762376907
s1,0.001,0.001,1,2663924305
s1,0.001,0.001,2,3644120687
s1,0.001,0.001,3,816477439
s1,0.001,0.001,4,855374226
s1,0.001,0.001,5,3675885022
s1,0.001,0.001,6,1162966940
s1,0.001,0.001,7,1040808668
s1,0.002,0.0,0,25926446
s1,0.002,0.0,1,2948500330
s1,0.002,0.0,2,3548178789
s1,0.002,0.0,3,3453766367
s1,0.002,0.0,4,2138378301
s1,0.002,0.0,5,2130269872
s1,0.002,0.0,6,1142325361
s1,0.002,0.0,7,2544732187
s1,0.002,0.0001,0,3010304362
s1,0.002,0.0001,1,68825730
s1,0.002,0.0001,2,97978632
s1,0.002,0.0001,3,2414075253
s1,0.002,0.0001,4,1939497087
s1,0.002,0.0001,5,367251532
s1,0.002,0.0001,6,607536575
s1,0.002,0.0001,7,2584641824
s1,0.002,0.0002,0,3353842248
s1,0.002,0.0002,1,865900675
s1,0.002,0.0002,2,340417229
s1,0.002,0.0002,3,2955374442
s1,0.002,0.0002,4,2137136124
s1,0.002,0.0002,5,1677871856
s1,0.002,0.0002,6,3785506059
s1,0.002,0.0002,7,3583491504
s1,0.002,0.0005,0,1416602039
s1,0.002,0.0005,1,1959299700
s1,0.002,0.0005,2,507419405
s1,0.002,0.0005,3,773827805
s1,0.002,0.0005,4,1184442421
s1,0.002,0.0005,5,1989236184
s1,0.002,0.0005,6,1754318430
s1,0.002,0.0005,7,419383913
s1,0.002,0.001,0,3097512492
s1,0.002,0.001,1,493587962
s1,0.002,0.001,2,708502770
s1,0.002,0.001,3,2810083054
s1,0.002,0.001,4,3811983299
s1,0.002,0.001,5,255856365
s1,0.002,0.001,6,917178463
s1,0.002,0.001,7,4101281197
s1,0.003,0.0,0,2177534820
s1,0.003,0.0,1,1655195211
s1,0.003,0.0,2,182620252
s1,0.003,0.0,3,2307265770
s1,0.003,0.0,4,2133866841
s1,0.003,0.0,5,2445781131
s1,0.003,0.0,6,2750541102
s1,0.003,0.0,7,2097126378
