scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s1,random,104857,0,0.0,0.0,0.0,1,0,0.6606616630267889,0.6707317073170732,70297,410,275,460428,1.2214200700218059,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,da0d59f2dd067e70fdae67d2d8c8707d01d643302a392698e83646e1b1e90702,135
s1,random,104857,1,0.0,0.0,0.0,1,0,0.6899491688680774,0.697560975609756,73113,410,286,460428,1.2703484583908884,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,e7c9a49cb03d4903f0c2d2396200dc6f1f873eb8cb9ff4689f8c068d08fe5411,123
s1,random,104857,2,0.0,0.0,0.0,1,0,0.6435526478918908,0.6439024390243903,67481,410,264,460428,1.172491681652723,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,669026d763b0d149b37e042eb4b668b81b4d9e8a6cfd4416da13f1f8c7d2a066,146
s1,random,104857,3,0.0,0.0,0.0,1,0,0.6728496905309135,0.6780487804878049,71065,410,278,460428,1.2347641759406465,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,7f0cf558c3fab392a30ad13b27b6fb6abf356e2ed134a562b333a1c486bc1966,132
s1,random,104857,4,0.0,0.0,0.0,1,0,0.7216780949292847,0.7219512195121951,75673,410,296,460428,1.314828811453691,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,da37225844f8b063ecf67ac1100f65bd1f226ae8c5f9c5accbbe069f402fd63b,114
s1,random,104857,5,0.0,0.0,0.0,1,0,0.6630840096512393,0.6682926829268293,70041,410,274,460428,1.2169720347155255,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,ef332e895a17ee50998adc7070a16ca9767dffae130af53b43c76b2abc98b3b8,136
s1,random,104857,6,0.0,0.0,0.0,1,0,0.6630840096512393,0.6634146341463415,69529,410,272,460428,1.208075964102965,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,3d22b5f920be900eb0743fe2189d204ca86adfcf7da521c5faf3f286a86dc81c,138
s1,random,104857,7,0.0,0.0,0.0,1,0,0.6459940681118094,0.6463414634146342,67737,410,265,460428,1.1769397169590035,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,be3def4beeee13e24fddc0649cbe005156f0a6ab4b752065ef70d029890321a0,145
s1,random,104857,0,0.0,5e-05,5e-05,1,0,0.6069313445931125,0.6121951219512195,64153,410,251,460428,1.1146672226710799,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,3c71d74abecfaa63a79b0a016ac755df11eab15856ed6d14d2604e75666161d0,159
s1,random,104857,1,0.0,5e-05,5e-05,1,0,0.6044899243731939,0.6048780487804878,63385,410,248,460428,1.1013231167522393,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,5e330ae6701bae6cab82c8efb98c1f28986906f86ab2636ce30db77ab4af59ac,162
s1,random,104857,2,0.0,5e-05,5e-05,1,0,0.6225812296746999,0.624390243902439,65536,410,256,460428,1.1386970384077424,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,690acecb36c52d0bff339ad0a0c944a83b60130515a36f9a05fc599bb6eba29b,153
s1,random,104857,3,0.0,5e-05,5e-05,1,0,0.631345546792298,0.6365853658536585,66713,410,261,460428,1.1591475757338825,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,ec4b46b8c612a39c4440257496315c9231ab598ff1289f2a49484448f1b68246,149
s1,random,104857,4,0.0,5e-05,5e-05,1,0,0.6420935178385802,0.6463414634146342,67840,410,265,460428,1.1787293561642647,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,25a6e80ca1597ae44a9d658e545f879c70c642fb63c18499688f1d6c46a43bba,145
s1,random,104857,5,0.0,5e-05,5e-05,1,0,0.6250035762991503,0.624390243902439,65536,410,256,460428,1.1386970384077424,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,265dfee097e1901ccd219b97ed996166cb25403a28411546bec898b1a8cdf669,154
s1,random,104857,6,0.0,5e-05,5e-05,1,0,0.6225621560792317,0.6219512195121951,65280,410,255,460428,1.134249003101462,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,4f3b333789ae0d538f137c19d087822226597c1f3dab6ca11739acd3b703bc3d,155
s1,random,104857,7,0.0,5e-05,5e-05,1,0,0.6020485041532754,0.6048780487804878,63385,410,248,460428,1.1013231167522393,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,6d680df7611a9bb3249deef041a174259a28dc5008787a0387a40ad83b81ae74,162
s1,random,104857,0,0.0,0.0001,0.0001,1,0,0.5752024185319053,0.5804878048780487,60825,410,238,460428,1.0568427636894369,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,6aa1785e3d46a460906edaf849d63a51b12982c33fcfac3ff4a2514d4fd96a8b,171
s1,random,104857,1,0.0,0.0001,0.0001,1,0,0.5336887379955558,0.5365853658536586,56217,410,220,460428,0.9767781281763924,1.0977521767740828,2991e60b70cb9d9187c7bc57c07b86baa757d361bd055bb53cff3623115344cc,bf8c4c6dd19ce1c828ad339c856f8cfa282b9c1cda44fcc5b6ebd7a3181cb971,190
