scheme,p_sub,p_indel,trial,seed
s1,0.0,0.0,0,3458597231
s1,0.0,0.0,1,1277910808
s1,0.0,0.0,2,583549218
s1,0.0,0.0,3,2150906426
s1,0.0,0.0005,0,1957712699
s1,0.0,0.0005,1,4064430388
s1,0.0,0.0005,2,1794695698
s1,0.0,0.0005,3,596327214
s1,0.0,0.001,0,2647613311
s1,0.0,0.001,1,2871553253
s1,0.0,0.001,2,2121237449
s1,0.0,0.001,3,118397434
s1,0.0,0.002,0,3446918627
s1,0.0,0.002,1,3128743369
s1,0.0,0.002,2,726841212
s1,0.0,0.002,3,3045045145
s1,0.0,0.003,0,2721564651
s1,0.0,0.003,1,2510968746
s1,0.0,0.003,2,1303313803
s1,0.0,0.003,3,1048564406
s1,0.0,0.004,0,361189102
s1,0.0,0.004,1,3043328552
s1,0.0,0.004,2,1225645103
s1,0.0,0.004,3,3954364949
s1,0.0,0.005,0,2904651897
s1,0.0,0.005,1,3162205247
s1,0.0,0.005,2,3786624654
s1,0.0,0.005,3,1990428375
s1,0.0,0.006,0,926186283
s1,0.0,0.006,1,3117424683
s1,0.0,0.006,2,3532327597
s1,0.0,0.006,3,2697583663
s1,0.0001,0.0,0,755634786
s1,0.0001,0.0,1,1892410819
s1,0.0001,0.0,2,521501763
s1,0.0001,0.0,3,3463240563
s1,0.0001,0.0005,0,1168623996
s1,0.0001,0.0005,1,3223272894
s1,0.0001,0.0005,2,3066610396
s1,0.0001,0.0005,3,3174981408
s1,0.0001,0.001,0,3989512176
s1,0.0001,0.001,1,3640404938
s1,0.0001,0.001,2,3877644172
s1,0.0001,0.001,3,1966961449
s1,0.0001,0.002,0,497962666
s1,0.0001,0.002,1,452168755
s1,0.0001,0.002,2,1453928804
s1,0.0001,0.002,3,4043777110
s1,0.0001,0.003,0,1257475141
s1,0.0001,0.003,1,1448902500
s1,0.0001,0.003,2,416185178
s1,0.0001,0.003,3,2098259938
s1,0.0001,0.004,0,3541002489
s1,0.0001,0.004,1,2001482987
s1,0.0001,0.004,2,1096614602
s1,0.0001,0.004,3,3467368354
s1,0.0001,0.005,0,2763052921
s1,0.0001,0.005,1,963232785
s1,0.0001,0.005,2,76709172
s1,0.0001,0.005,3,3971151706
s1,0.0001,0.006,0,1111762544
s1,0.0001,0.006,1,370015368
s1,0.0001,0.006,2,3672456832
s1,0.0001,0.006,3,478401982
s1,0.0002,0.0,0,680343048
s1,0.0002,0.0,1,33290120
s1,0.0002,0.0,2,4095855747
s1,0.0002,0.0,3,3258068644
s1,0.0002,0.0005,0,3016704277
s1,0.0002,0.0005,1,3187727052
s1,0.0002,0.0005,2,2767103498
s1,0.0002,0.0005,3,3026654849
s1,0.0002,0.001,0,2424178392
s1,0.0002,0.001,1,2937251331
s1,0.0002,0.001,2,293855406
s1,0.0002,0.001,3,1230686355
s1,0.0002,0.002,0,141387072
s1,0.0002,0.002,1,1748989678
s1,0.0002,0.002,2,2987462037
s1,0.0002,0.002,3,658882336
s1,0.0002,0.003,0,29953032
s1,0.0002,0.003,1,2007148010
s1,0.0002,0.003,2,3224428711
s1,0.0002,0.003,3,1089857444
s1,0.0002,0.004,0,896092470
s1,0.0002,0.004,1,1934058905
s1,0.0002,0.004,2,2603357259
s1,0.0002,0.004,3,2464265525
s1,0.0002,0.005,0,1219541637
s1,0.0002,0.005,1,3374224856
s1,0.0002,0.005,2,976891752
s1,0.0002,0.005,3,3807556318
s1,0.0002,0.006,0,430339261
s1,0.0002,0.006,1,4097069194
s1,0.0002,0.006,2,2975767224
s1,0.0002,0.006,3,336694707
s2,0.0,0.0,0,651271097
s2,0.0,0.0,1,2511418083
s2,0.0,0.0,2,2636821047
s2,0.0,0.0,3,1106065731
s2,0.0,0.0005,0,4259161501
s2,0.0,0.0005,1,2639842421
s2,0.0,0.0005,2,2641113549
s2,0.0,0.0005,3,1686759827
s2,0.0,0.001,0,2211814205
s2,0.0,0.001,1,3351544789
s2,0.0,0.001,2,4058431816
s2,0.0,0.001,3,4088177266
s2,0.0,0.002,0,2698026001
s2,0.0,0.002,1,920644054
s2,0.0,0.002,2,2685111854
s2,0.0,0.002,3,2692073343
s2,0.0,0.003,0,3285429772
s2,0.0,0.003,1,1832855220
s2,0.0,0.003,2,3626086871
s2,0.0,0.003,3,593769984
s2,0.0,0.004,0,3520904397
s2,0.0,0.004,1,2218940014
s2,0.0,0.004,2,1744243425
s2,0.0,0.004,3,3819730738
s2,0.0,0.005,0,2783960793
s2,0.0,0.005,1,3714005371
s2,0.0,0.005,2,2825029422
s2,0.0,0.005,3,629089264
s2,0.0,0.006,0,3466689932
s2,0.0,0.006,1,3314417831
s2,0.0,0.006,2,1553636531
s2,0.0,0.006,3,3552240978
s2,0.0001,0.0,0,2044456363
s2,0.0001,0.0,1,316034305
s2,0.0001,0.0,2,2212640126
s2,0.0001,0.0,3,1537592497
s2,0.0001,0.0005,0,1215379221
s2,0.0001,0.0005,1,1039385195
s2,0.0001,0.0005,2,559974901
s2,0.0001,0.0005,3,3301661037
s2,0.0001,0.001,0,1037074985
s2,0.0001,0.001,1,3769190933
s2,0.0001,0.001,2,4127313248
s2,0.0001,0.001,3,720861828
s2,0.0001,0.002,0,3088696042
s2,0.0001,0.002,1,1616444166
s2,0.0001,0.002,2,3925325595
s2,0.0001,0.002,3,370198875
s2,0.0001,0.003,0,2744859166
s2,0.0001,0.003,1,1000531968
s2,0.0001,0.003,2,1273156293
s2,0.0001,0.003,3,1761394810
s2,0.0001,0.004,0,712772745
s2,0.0001,0.004,1,3252813550
s2,0.0001,0.004,2,3752901190
s2,0.0001,0.004,3,3591805628
s2,0.0001,0.005,0,1879107658
s2,0.0001,0.005,1,1848717837
s2,0.0001,0.005,2,653932492
s2,0.0001,0.005,3,1179371891
s2,0.0001,0.006,0,2810709558
s2,0.0001,0.006,1,1310748960
s2,0.0001,0.006,2,3749009073
s2,0.0001,0.006,3,2317833490
s2,0.0002,0.0,0,2536053903
s2,0.0002,0.0,1,3436928746
s2,0.0002,0.0,2,1735371069
s2,0.0002,0.0,3,2135028914
s2,0.0002,0.0005,0,4024056113
s2,0.0002,0.0005,1,3872215587
s2,0.0002,0.0005,2,665668578
s2,0.0002,0.0005,3,9621139
s2,0.0002,0.001,0,3460298332
