scheme,dataset,size_bytes,p_sub,p_ins,p_del,replication,success_mean,success_std,success_ci95,byte_accuracy_mean,byte_accuracy_std,byte_accuracy_ci95,chunk_recovery_mean,chunk_recovery_std,chunk_recovery_ci95,effective_bits_per_base_mean,effective_bits_per_base_std,effective_bits_per_base_ci95,overhead_mean,overhead_std,overhead_ci95,trials
s1,random,20971,0.0,0.0,0.0,1,0.0,0.0,0.0,0.9450669972819608,0.02541159200149399,0.02490336016146411,0.948170731707317,0.02514088796108327,0.024638070201861602,1.7273793492897789,0.0458500951374016,0.04493309323465357,1.0977540412951219,0.0,0.0,4
s1,random,20971,0.0,0.00025,0.00025,1,0.0,0.0,0.0,0.5394234895808497,0.048086137555738706,0.04712441480462393,0.5396341463414634,0.04814113529401223,0.04717831258813199,0.9827765952825682,0.08760821777345881,0.08585605341798963,1.0977540412951219,0.0,0.0,4
s1,random,20971,0.0,0.0005,0.0005,1,0.0,0.0,0.0,0.32884697916169947,0.04771854192796554,0.04676417108940623,0.32926829268292684,0.04775341514012491,0.04679834683732241,0.599126884149255,0.0869384946589084,0.08519972476573023,1.0977540412951219,0.0,0.0,4
s1,random,20971,0.0,0.001,0.001,1,0.0,0.0,0.0,0.06688999093986935,0.02501251703246295,0.02451226669181369,0.06707317073170732,0.025386170725196743,0.024878447310692806,0.12186699100820989,0.045570348350443546,0.044658941383434674,1.0977540412951219,0.0,0.0,4
s1,random,20971,0.0,0.0015,0.0015,1,0.0,0.0,0.0,0.03662200181202613,0.017263777214606472,0.01691850167031434,0.036585365853658534,0.017246506858208475,0.016901576721044306,0.0667216888927501,0.031452905778855164,0.03082384766327806,1.0977540412951219,0.0,0.0,4
s1,random,20971,0.0,0.002,0.002,1,0.0,0.0,0.0,0.015008821706165656,0.01815024348572324,0.017787238616008776,0.01524390243902439,0.018292682926829267,0.01792682926829268,0.027344598410147254,0.033067960222327615,0.032406601017881065,1.0977540412951219,0.0,0.0,4
s1,random,20971,0.0,0.0025,0.0025,1,0.0,0.0,0.0,0.006103666968671022,0.007047907534812083,0.006906949384115841,0.006097560975609756,0.0070408569413369,0.006900039802510162,0.011120281482125016,0.012840595014338579,0.012583783114051807,1.0977540412951219,0.0,0.0,4
s1,random,20971,0.0,0.003,0.003,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0977540412951219,0.0,0.0,4
s1,random,20971,0.0001,0.0,0.0,1,0.0,0.0,0.0,0.8596156597205665,0.04621622038449508,0.04529189597680518,0.8628048780487805,0.04916010822133261,0.04817690605690596,1.5716954085400285,0.08965457554252332,0.08786148403167285,1.0977540412951219,0.0,0.0,4
s1,random,20971,0.0001,0.00025,0.00025,1,0.0,0.0,0.0,0.5030518334843355,0.07165410329563518,0.07022102122972247,0.5060975609756098,0.0707597365265415,0.06934454179601067,0.9220711524260458,0.12820948584773195,0.12564529613077732,1.0977540412951219,0.0,0.0,4
s1,random,20971,0.0001,0.0005,0.0005,1,0.0,0.0,0.0,0.2741643221591722,0.031121852413329303,0.030499415365062718,0.27439024390243905,0.03069038388321443,0.03007657620555014,0.4995004561052952,0.05670095712262098,0.05556693798016856,1.0977540412951219,0.0,0.0,4
s1,random,20971,0.0001,0.001,0.001,1,0.0,0.0,0.0,0.06103666968671022,0.017263777214606472,0.01691850167031434,0.06402439024390244,0.015345191941607215,0.01503828810277507,0.11676295556231267,0.02798542802121703,0.02742571946079269,1.0977540412951219,0.0,0.0,4
s1,random,20971,0.0001,0.0015,0.0015,1,0.0,0.0,0.0,0.015259167421677555,0.006103666968671022,0.005981593629297601,0.01524390243902439,0.006097560975609756,0.005975609756097561,0.02780070370531254,0.011120281482125016,0.010897875852482516,1.0977540412951219,0.0,0.0,4
s1,random,20971,0.0001,0.002,0.002,1,0.0,0.0,0.0,0.006103666968671022,0.007047907534812083,0.006906949384115841,0.006097560975609756,0.0070408569413369,0.006900039802510162,0.011120281482125016,0.012840595014338579,0.012583783114051807,1.0977540412951219,0.0,0.0,4
