scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s1,random,20971,0,0.0,0.0,0.0,1,0,0.9145486624386057,0.9146341463414634,19179,82,75,92084,1.6662178011380913,1.0977540412951219,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,a6039c03ca204640767a9d44530e911182012f23c9493738e75507d1f09271e7,7
s1,random,20971,1,0.0,0.0,0.0,1,0,0.9389633303132898,0.9512195121951219,19947,82,78,92084,1.7329394900308415,1.0977540412951219,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,e6760b53c308d218e8ed4306259b49d04c3b936adc04e8d0ead5e4d48b492ea7,4
s1,random,20971,2,0.0,0.0,0.0,1,0,0.9511706642506318,0.9512195121951219,19947,82,78,92084,1.7329394900308415,1.0977540412951219,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,a14c18a40ddfb71c7cc81fcee97de4037628654ed44c73d0c3e421a3baada9fe,4
s1,random,20971,3,0.0,0.0,0.0,1,0,0.975585332125316,0.975609756097561,20459,82,80,92084,1.7774206159593415,1.0977540412951219,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,9e3dff36715c701b3aaf398f0337a392dc62223b00c69356ce287609358f9a47,2
s1,random,20971,0,0.0,0.00025,0.00025,1,0,0.6093653140050546,0.6097560975609756,12779,82,50,92084,1.1102037270318406,1.0977540412951219,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,0d50ab273786f6f585ba7248462aac6908bac6d0e1dfa06ab48c5056a287b2c9,32
s1,random,20971,1,0.0,0.00025,0.00025,1,0,0.49949930856897623,0.5,10475,82,41,92084,0.9100386603535902,1.0977540412951219,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,a8a2031d8106ca4082dd4c93e1ea4da896d25a953463dbabd317e491566e3aa5,41
s1,random,20971,2,0.0,0.00025,0.00025,1,0,0.5239139764436603,0.524390243902439,10987,82,43,92084,0.9545197862820902,1.0977540412951219,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,880cd3b3f77df9b2d246dd38dc64e813c57287789ba75da8e72487ebde97154d,39
s1,random,20971,3,0.0,0.00025,0.00025,1,0,0.5249153593057079,0.524390243902439,11008,82,43,92084,0.9563442074627514,1.0977540412951219,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,99fe97c571f1d1d7e66d5cf381660c833302a92c147af3a47155d07a154cc43c,39
s1,random,20971,0,0.0,0.0005,0.0005,1,0,0.2675599637594774,0.2682926829268293,5611,82,22,92084,0.4874679640328396,1.0977540412951219,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,df1d732d960c8ce533f74c15fd2a301a9b104612dba6939dac113744e0f2dd3d,60
s1,random,20971,1,0.0,0.0005,0.0005,1,0,0.37742596919555577,0.3780487804878049,7915,82,31,92084,0.6876330307110898,1.0977540412951219,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,9afa3f84c0749b034d15ee6ca3f9204e0c715a2f2365f05f0ab176e62debe565,51
