scheme,dataset,size_bytes,p_sub,p_ins,p_del,replication,success_mean,success_std,success_ci95,byte_accuracy_mean,byte_accuracy_std,byte_accuracy_ci95,chunk_recovery_mean,chunk_recovery_std,chunk_recovery_ci95,effective_bits_per_base_mean,effective_bits_per_base_std,effective_bits_per_base_ci95,overhead_mean,overhead_std,overhead_ci95,trials
s1,random,20971,0.0,0.0,0.0,1,0.0,0.0,0.0,0.7988293357493682,0.09405793789523706,0.09217677913733231,0.7976190476190476,0.09816918156232524,0.09620579793107872,1.5586388165240046,0.18352149382220106,0.17985106394575703,1.0250345715511897,0.0,0.0,4
s1,random,20971,0.0,0.00025,0.00025,1,0.0,0.0,0.0,0.11571932668923751,0.11149664211246524,0.10926670927021594,0.11904761904761904,0.11335600680226746,0.1110888866662221,0.2257861927800521,0.2175470861314206,0.21319614440879217,1.0250345715511897,0.0,0.0,4
s1,random,20971,0.0,0.0005,0.0005,1,0.0,0.0,0.0,0.03662200181202613,0.024414667874684087,0.023926374517190405,0.03571428571428571,0.023809523809523808,0.02333333333333333,0.07145515444733905,0.04763676963155936,0.046684034238928175,1.0250345715511897,0.0,0.0,4
s1,random,20971,0.0,0.001,0.001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0250345715511897,0.0,0.0,4
s1,random,20971,0.0,0.0015,0.0015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0250345715511897,0.0,0.0,4
s1,random,20971,0.0,0.002,0.002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0250345715511897,0.0,0.0,4
s1,random,20971,0.0,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0250345715511897,0.0,0.0,4
s1,random,20971,0.0,0.003,0.003,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0250345715511897,0.0,0.0,4
s1,random,20971,0.0001,0.0,0.0,1,0.0,0.0,0.0,0.5361213103810023,0.11623706882246719,0.11391232744601784,0.5476190476190476,0.11335600680226747,0.11108888666622212,1.0460550800148865,0.22679638726050985,0.22226045951529966,1.0250345715511897,0.0,0.0,4
s1,random,20971,0.0001,0.00025,0.00025,1,0.0,0.0,0.0,0.07909732487721138,0.08311962774410397,0.08145723518922189,0.08333333333333333,0.08132500607904443,0.07969850595746354,0.15433103833271306,0.16217916946609645,0.15893558607677452,1.0250345715511897,0.0,0.0,4
