scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s1,random,20971,0,0.0,0.0,0.0,1,0,0.8535119927518955,0.8571428571428571,17899,21,18,85984,1.6653330852251582,1.0250345715511897,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,4d400e41561cee1e6403d3bc7873daebeaa3db62b51ca365dd3b8f3a870838ab,3
s1,random,20971,1,0.0,0.0,0.0,1,0,0.707023985503791,0.7142857142857143,14827,21,15,85984,1.379512467435802,1.0250345715511897,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,f628a27f8780b96ed739050a2081a09de77605bcc0274b03a42a64fd66f83be7,6
s1,random,20971,2,0.0,0.0,0.0,1,0,0.7324400362405227,0.7142857142857143,15360,21,15,85984,1.4291030889467808,1.0250345715511897,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,c02d7eddf4f72127a907053c88e558527e9363ccbd16ea6ce4816e23a2bf56f6,6
s1,random,20971,3,0.0,0.0,0.0,1,0,0.9023413285012637,0.9047619047619048,18923,21,19,85984,1.760606624488277,1.0250345715511897,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,cc39ca2a2a85f1887d0a6703dc265f14fdc3ccd4496803d2ecc3e07eaf7eded7,2
s1,random,20971,0,0.0,0.00025,0.00025,1,0,0.16990129226074102,0.19047619047619047,3563,21,4,85984,0.3315035355414961,1.0250345715511897,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,db5ab6c649aac4794c4379c525d2aee3493a14d411c9f6bdaa29d477776b3859,17
s1,random,20971,1,0.0,0.00025,0.00025,1,0,0.0,0.0,0,21,0,85984,0.0,1.0250345715511897,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,21
s1,random,20971,2,0.0,0.00025,0.00025,1,0,0.04882933574936817,0.047619047619047616,1024,21,1,85984,0.09527353926311873,1.0250345715511897,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,87b7848506d91f31eea1945a55b2fb6f77cb68780ad049a59085c3c8125627b5,20
s1,random,20971,3,0.0,0.00025,0.00025,1,0,0.24414667874684087,0.23809523809523808,5120,21,5,85984,0.4763676963155936,1.0250345715511897,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,fb41ca4c200cc01e62dd564a592ab83933978dae35d73b862eb24dc996849146,16
s1,random,20971,0,0.0,0.0005,0.0005,1,0,0.04882933574936817,0.047619047619047616,1024,21,1,85984,0.09527353926311873,1.0250345715511897,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,2d2191cf2a5bb9a1a805440abf4b883d06c390514f493b266a158487f07af2a8,20
s1,random,20971,1,0.0,0.0005,0.0005,1,0,0.04882933574936817,0.047619047619047616,1024,21,1,85984,0.09527353926311873,1.0250345715511897,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,2f0af8294651d245361d139f08a0e61aee57bfc75b4fc5cec64daccf4d36efc5,20
