scheme,p_sub,p_indel,trial,seed
s1,0.0,0.0,0,3458597231
s1,0.0,0.0,1,1277910808
s1,0.0,0.0,2,583549218
s1,0.0,0.0,3,2150906426
s1,0.0,0.0002,0,120322881
s1,0.0,0.0002,1,2646652862
s1,0.0,0.0002,2,2612441706
s1,0.0,0.0002,3,177118233
s1,0.0,0.0005,0,1957712699
s1,0.0,0.0005,1,4064430388
s1,0.0,0.0005,2,1794695698
s1,0.0,0.0005,3,596327214
s1,0.0,0.001,0,2647613311
s1,0.0,0.001,1,2871553253
s1,0.0,0.001,2,2121237449
s1,0.0,0.001,3,118397434
s1,0.0,0.0015,0,342115384
s1,0.0,0.0015,1,3433986216
s1,0.0,0.0015,2,2114919058
s1,0.0,0.0015,3,3598513929
s1,0.0,0.002,0,3446918627
s1,0.0,0.002,1,3128743369
s1,0.0,0.002,2,726841212
s1,0.0,0.002,3,3045045145
s1,0.0002,0.0,0,680343048
s1,0.0002,0.0,1,33290120
s1,0.0002,0.0,2,4095855747
s1,0.0002,0.0,3,3258068644
s1,0.0002,0.0002,0,2664262307
s1,0.0002,0.0002,1,3331783382
s1,0.0002,0.0002,2,2202876366
s1,0.0002,0.0002,3,2777710745
s1,0.0002,0.0005,0,3016704277
s1,0.0002,0.0005,1,3187727052
s1,0.0002,0.0005,2,2767103498
s1,0.0002,0.0005,3,3026654849
s1,0.0002,0.001,0,2424178392
s1,0.0002,0.001,1,2937251331
s1,0.0002,0.001,2,293855406
s1,0.0002,0.001,3,1230686355
s1,0.0002,0.0015,0,1984199286
s1,0.0002,0.0015,1,4137805785
s1,0.0002,0.0015,2,2943387625
s1,0.0002,0.0015,3,243063758
s1,0.0002,0.002,0,141387072
s1,0.0002,0.002,1,1748989678
s1,0.0002,0.002,2,2987462037
s1,0.0002,0.002,3,658882336
s1,0.0005,0.0,0,2839953338
s1,0.0005,0.0,1,4041995252
s1,0.0005,0.0,2,3792723229
s1,0.0005,0.0,3,2944929190
s1,0.0005,0.0002,0,1569003687
s1,0.0005,0.0002,1,2194648049
s1,0.0005,0.0002,2,1701127692
s1,0.0005,0.0002,3,3649747322
s1,0.0005,0.0005,0,3653983164
s1,0.0005,0.0005,1,4040462090
s1,0.0005,0.0005,2,4111035039
s1,0.0005,0.0005,3,1638877010
s1,0.0005,0.001,0,4204599038
s1,0.0005,0.001,1,3499815786
s1,0.0005,0.001,2,3626737211
s1,0.0005,0.001,3,1485620378
s1,0.0005,0.0015,0,2793267383
s1,0.0005,0.0015,1,2249571388
s1,0.0005,0.0015,2,421794390
s1,0.0005,0.0015,3,2508770905
s1,0.0005,0.002,0,147472613
s1,0.0005,0.002,1,2714819504
s1,0.0005,0.002,2,1059331754
s1,0.0005,0.002,3,1474477666
s1,0.001,0.0,0,855501072
s1,0.001,0.0,1,3517021474
s1,0.001,0.0,2,1950666169
s1,0.001,0.0,3,473272635
s1,0.001,0.0002,0,2769228422
s1,0.001,0.0002,1,3272032489
s1,0.001,0.0002,2,1021989077
s1,0.001,0.0002,3,2938901586
s1,0.001,0.0005,0,2517673358
s1,0.001,0.0005,1,1098714193
s1,0.001,0.0005,2,4165064351
s1,0.001,0.0005,3,2015358805
s1,0.001,0.001,0,3762376907
s1,0.001,0.001,1,2663924305
s1,0.001,0.001,2,3644120687
s1,0.001,0.001,3,816477439
s1,0.001,0.0015,0,3827073460
s1,0.001,0.0015,1,893144426
s1,0.001,0.0015,2,2346157990
s1,0.001,0.0015,3,3556790421
s1,0.001,0.002,0,234338108
s1,0.001,0.002,1,667389601
s1,0.001,0.002,2,1976703941
s1,0.001,0.002,3,2679160027
s2,0.0,0.0,0,651271097
s2,0.0,0.0,1,2511418083
s2,0.0,0.0,2,2636821047
s2,0.0,0.0,3,1106065731
s2,0.0,0.0002,0,113410295
s2,0.0,0.0002,1,1230939327
s2,0.0,0.0002,2,790654051
s2,0.0,0.0002,3,200227287
s2,0.0,0.0005,0,4259161501
s2,0.0,0.0005,1,2639842421
s2,0.0,0.0005,2,2641113549
s2,0.0,0.0005,3,1686759827
s2,0.0,0.001,0,2211814205
s2,0.0,0.001,1,3351544789
s2,0.0,0.001,2,4058431816
s2,0.0,0.001,3,4088177266
s2,0.0,0.0015,0,2951504577
s2,0.0,0.0015,1,4202837203
s2,0.0,0.0015,2,878573855
s2,0.0,0.0015,3,2151851982
s2,0.0,0.002,0,2698026001
s2,0.0,0.002,1,920644054
s2,0.0,0.002,2,2685111854
s2,0.0,0.002,3,2692073343
s2,0.0002,0.0,0,2536053903
s2,0.0002,0.0,1,3436928746
s2,0.0002,0.0,2,1735371069
s2,0.0002,0.0,3,2135028914
s2,0.0002,0.0002,0,3661806977
s2,0.0002,0.0002,1,2075871173
s2,0.0002,0.0002,2,2578488151
s2,0.0002,0.0002,3,2949453357
s2,0.0002,0.0005,0,4024056113
s2,0.0002,0.0005,1,3872215587
s2,0.0002,0.0005,2,665668578
s2,0.0002,0.0005,3,9621139
s2,0.0002,0.001,0,3460298332
s2,0.0002,0.001,1,1953364601
s2,0.0002,0.001,2,2486144702
s2,0.0002,0.001,3,1218882336
s2,0.0002,0.0015,0,2500043274
s2,0.0002,0.0015,1,1993820924
s2,0.0002,0.0015,2,2689359510
s2,0.0002,0.0015,3,254946504
s2,0.0002,0.002,0,1712438747
s2,0.0002,0.002,1,3188078333
s2,0.0002,0.002,2,2950138876
s2,0.0002,0.002,3,1421449036
s2,0.0005,0.0,0,3680423091
s2,0.0005,0.0,1,3727446462
s2,0.0005,0.0,2,3021117322
s2,0.0005,0.0,3,804813689
s2,0.0005,0.0002,0,1222557169
s2,0.0005,0.0002,1,4278884193
s2,0.0005,0.0002,2,3022319895
s2,0.0005,0.0002,3,4236538186
s2,0.0005,0.0005,0,267611141
s2,0.0005,0.0005,1,2592789040
s2,0.0005,0.0005,2,1165391853
s2,0.0005,0.0005,3,3031534779
s2,0.0005,0.001,0,4219171848
s2,0.0005,0.001,1,589721710
s2,0.0005,0.001,2,380520005
s2,0.0005,0.001,3,7270507
s2,0.0005,0.0015,0,2972262835
s2,0.0005,0.0015,1,853609017
s2,0.0005,0.0015,2,3770611639
s2,0.0005,0.0015,3,3136036440
s2,0.0005,0.002,0,1347399142
s2,0.0005,0.002,1,1186768102
