scheme,dataset,size_bytes,p_sub,p_ins,p_del,replication,success_mean,success_std,success_ci95,byte_accuracy_mean,byte_accuracy_std,byte_accuracy_ci95,chunk_recovery_mean,chunk_recovery_std,chunk_recovery_ci95,effective_bits_per_base_mean,effective_bits_per_base_std,effective_bits_per_base_ci95,overhead_mean,overhead_std,overhead_ci95,trials
s1,random,20971,0.0,0.0,0.0,1,0.0,0.0,0.0,0.9572743312193028,0.004315944303651657,0.004229625417578624,0.958841463414634,0.003935958685170143,0.0038572395114667398,1.3785608995234995,0.005664779727749507,0.005551484133194517,1.3910161651804873,0.0,0.0,4
s1,random,20971,0.0,0.0001,0.0001,1,0.0,0.0,0.0,0.8756377855133279,0.019521399837765015,0.019130971841009713,0.8772865853658537,0.017313744956708167,0.016967470057574003,1.2611840526550342,0.024918592720936442,0.024420220866517715,1.3910161651804873,0.0,0.0,4
s1,random,20971,0.0,0.00025,0.00025,1,0.0,0.0,0.0,0.7650088217061656,0.028081290654647026,0.027519664841554086,0.7667682926829269,0.02788703807726068,0.027329297315715467,1.1021219704501044,0.040136073725128035,0.039333352250625474,1.3910161651804873,0.0,0.0,4
s1,random,20971,0.0,0.0005,0.0005,1,0.0,0.0,0.0,0.6737041628916123,0.026923502594544374,0.026385032542653487,0.6745426829268293,0.026738459587241574,0.02620369039549674,0.969747351822015,0.038090994644963565,0.03732917475206429,1.3910161651804873,0.0,0.0,4
s1,random,20971,0.0,0.00075,0.00075,1,0.0,0.0,0.0,0.5295050307567594,0.03557496614171831,0.03486346681888394,0.5304878048780488,0.0363304124628445,0.03560380421358761,0.7624181550169689,0.05233330645755805,0.051286640328406886,1.3910161651804873,0.0,0.0,4
s1,random,20971,0.0,0.001,0.001,1,0.0,0.0,0.0,0.4079323828143627,0.038471230485952815,0.03770180587623376,0.4092987804878049,0.04001342911099601,0.03921316052877609,0.5887182475746461,0.05734598748952292,0.05619906773973246,1.3910161651804873,0.0,0.0,4
s1,random,20971,0.0002,0.0,0.0,1,0.0,0.0,0.0,0.8825044108530828,0.018730071192430888,0.01835546976858227,0.8841463414634148,0.019120820855921542,0.018738404438803112,1.2710568715505124,0.027519404299304474,0.026969016213318386,1.3910161651804873,0.0,0.0,4
s1,random,20971,0.0002,0.0001,0.0001,1,0.0,0.0,0.0,0.8204544370797768,0.026321671464483165,0.025795238035193502,0.8231707317073171,0.023746588303959166,0.023271656537879982,1.1840183744129442,0.03356544910644369,0.03289414012431482,1.3910161651804873,0.0,0.0,4
s1,random,20971,0.0002,0.00025,0.00025,1,0.0,0.0,0.0,0.7675599637594774,0.015991844705210367,0.01567200781110616,0.7721036585365854,0.016394579070022047,0.016066687488621605,1.1101607761132632,0.02304238365145148,0.02258153597842245,1.3910161651804873,0.0,0.0,4
s1,random,20971,0.0002,0.0005,0.0005,1,0.0,0.0,0.0,0.5829121167326308,0.032528543197899135,0.03187797233394115,0.5861280487804879,0.032108835930852786,0.03146665921223573,0.8424976860580714,0.04556393215267483,0.04465265350962133,1.3910161651804873,0.0,0.0,4
s1,random,20971,0.0002,0.00075,0.00075,1,0.0,0.0,0.0,0.507128892279815,0.01376147938489654,0.01348624979719861,0.509908536585366,0.01480569337838768,0.014509579510819926,0.7324397518083028,0.021308910589223157,0.020882732377438692,1.3910161651804873,0.0,0.0,4
s1,random,20971,0.0002,0.001,0.001,1,0.0,0.0,0.0,0.42015163797625293,0.032445429870251,0.03179652127284598,0.4245426829268293,0.03644748748054734,0.03571853773093639,0.6106578451201536,0.052471568331779336,0.05142213696514375,1.3910161651804873,0.0,0.0,4
s1,random,20971,0.0005,0.0,0.0,1,0.0,0.0,0.0,0.8400290877878975,0.025007668111019697,0.0245075147487993,0.8467987804878048,0.019501870998369416,0.019111833578402026,1.21766480408625,0.02779436882191178,0.027238481445473545,1.3910161651804873,0.0,0.0,4
s1,random,20971,0.0005,0.0001,0.0001,1,0.0,0.0,0.0,0.7517762624576796,0.025797030445306922,0.02528108983640078,0.7591463414634146,0.025140887961083318,0.02463807020186165,1.0918720647218128,0.03677050071047183,0.036035090696262394,1.3910161651804873,0.0,0.0,4
s1,random,20971,0.0005,0.00025,0.00025,1,0.0,0.0,0.0,0.6780315674026036,0.016622456675974173,0.01629000754245469,0.6814024390243902,0.01660582788452048,0.01627371132683007,0.9792602241952624,0.023899731853680373,0.023421737216606765,1.3910161651804873,0.0,0.0,4
