scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s1,random,20971,0,0.0,0.0,0.0,1,0,0.9511706642506318,0.9542682926829268,20011,328,313,116684,1.3719790202598472,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,635c52eacc1b17b960a646c525354f33ee9feda067667d503e4cb5c92ea182d3,15
s1,random,20971,1,0.0,0.0,0.0,1,0,0.9603261647036384,0.9603658536585366,20139,328,315,116684,1.38075485927805,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,a706545f5713ec49cb46d2b892f475ec12cef31fa429019b654bc7a2bc2ad5e4,13
s1,random,20971,2,0.0,0.0,0.0,1,0,0.9603261647036384,0.9634146341463414,20203,328,316,116684,1.3851427787871515,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,f6b4e9f8521c09813820c93e986d9d8ccdaddb3b1e15648f3ac3e145477a4096,11
s1,random,20971,3,0.0,0.0,0.0,1,0,0.9572743312193028,0.9573170731707317,20075,328,314,116684,1.3763669397689486,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,629ac5aad59614db4b60cfcf6bdafcbc08c41207e11721aabddf095c9c9b1266,14
s1,random,20971,0,0.0,0.0001,0.0001,1,0,0.8657193266892376,0.8658536585365854,18155,328,284,116684,1.2447293544959035,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,0d67078bf32fed3c36c167ba8c1f299d7754b53172690648a0ff68503ea0aec4,44
s1,random,20971,1,0.0,0.0001,0.0001,1,0,0.887082161079586,0.8871951219512195,18603,328,291,116684,1.275444791059614,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,44da763667dd189f9fd8e5e6eeeec15a043ca7dde128d979b35da897bea1bceb,37
s1,random,20971,2,0.0,0.0001,0.0001,1,0,0.8535119927518955,0.8597560975609756,18027,328,282,116684,1.2359535154777004,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,86c42c1407f08c55cbad81fc2ed38c600a7b02ae7e5c72de227d0746e149d677,46
s1,random,20971,3,0.0,0.0001,0.0001,1,0,0.8962376615325927,0.8963414634146342,18795,328,294,116684,1.2886085495869186,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,1afa5399c252b8f05b4690dc48cc77482cdd6da7442d6008a0b0ec7fcfc54403,34
s1,random,20971,0,0.0,0.00025,0.00025,1,0,0.7985789900338562,0.7987804878048781,16747,328,262,116684,1.1481951252956704,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,d14432391894ea6749eb795361165be310a55d461b6ac52e4d165043148570c8,66
s1,random,20971,1,0.0,0.00025,0.00025,1,0,0.7375423203471461,0.7378048780487805,15467,328,242,116684,1.0604367351136403,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,d21222e862a6a68267af2bc417aa2d62466337736fd26016edf09903f213c22a,86
s1,random,20971,2,0.0,0.00025,0.00025,1,0,0.7772161556435077,0.7804878048780488,16363,328,256,116684,1.1218676082410612,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,c6594e18fcd12fd0c0bf23493d992d5aeb56d597fdd619cab2740fd89fddd50e,72
s1,random,20971,3,0.0,0.00025,0.00025,1,0,0.7466978208001526,0.75,15723,328,246,116684,1.0779884131500463,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,69fff7839201ad44fddfde756e532c9b7ab179ca7bdea60d4ea64e20aa1bfd8d,81
s1,random,20971,0,0.0,0.0005,0.0005,1,0,0.6673501502074293,0.6676829268292683,13995,328,219,116684,0.9595145864043056,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,6649ac6635065066e55f589d00e0c79f97648d0a32d62e1e2acaab0dde431623,109
s1,random,20971,1,0.0,0.0005,0.0005,1,0,0.6612464832387582,0.6646341463414634,13931,328,218,116684,0.9551266668952041,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,eebc73226ecca8a9e99489ec5e6d8d752b719b5915a3bf6e0f61f024fe29e1ed,110
s1,random,20971,2,0.0,0.0005,0.0005,1,0,0.713127652472462,0.7134146341463414,14955,328,234,116684,1.0253333790408283,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,540018cbe0e7bda0fbd399373eb6febf2f42f6a9c242af3d869f1f9519524014,94
s1,random,20971,3,0.0,0.0005,0.0005,1,0,0.6530923656477994,0.6524390243902439,13696,328,214,116684,0.939014774947722,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,7d0a1e740260978c9e63b14bcc8dd7dd08b263d6bd848561ecdd76883032c6c4,114
s1,random,20971,0,0.0,0.00075,0.00075,1,0,0.5340708597587144,0.5335365853658537,11200,328,175,116684,0.7678859140927634,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,b2409a0fa665d2e839a5f85e21eb26a1ad1e045859a672fb04d978b1ed392a5e,153
s1,random,20971,1,0.0,0.00075,0.00075,1,0,0.5483286443183444,0.5487804878048781,11499,328,180,116684,0.7883857255493469,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,ecf3ef860db4ded5e7e01176802d70a3fce1a3ae23fb8c1d348ac12065c264fd,148
s1,random,20971,2,0.0,0.00075,0.00075,1,0,0.5574841447713509,0.5609756097560976,11755,328,184,116684,0.8059374035857529,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,d948045e34d352dad1126fe5d6af5b2acde606cfb506940174e493a48fd276bd,144
s1,random,20971,3,0.0,0.00075,0.00075,1,0,0.47813647417862765,0.47865853658536583,10027,328,157,116684,0.6874635768400124,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,00b4216e7b734f2cace51f7dfc6e722644e4be3ab61a8e199c5de586af03ccc5,171
s1,random,20971,0,0.0,0.001,0.001,1,0,0.35401268418291926,0.35365853658536583,7424,328,116,116684,0.5089986630557746,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,989e9b6253802ab51fcdac55c1f64eddf5a00687321541c1a1c28d28f329ee45,212
s1,random,20971,1,0.0,0.001,0.001,1,0,0.4425158552286491,0.4451219512195122,9344,328,146,116684,0.6406362483288197,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,0b6ac036a679280eb323c3782acf5a65bce8bc14864ed8b0dbd4a02ee859c614,182
s1,random,20971,2,0.0,0.001,0.001,1,0,0.40894568690095845,0.40853658536585363,8576,328,134,116684,0.5879812142196017,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,1c12763d5e25daee26aed1948fb082d32c20996b6e79721b542d17859293fb33,194
s1,random,20971,3,0.0,0.001,0.001,1,0,0.4262553049449239,0.4298780487804878,9003,328,141,116684,0.6172568646943882,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,370a89f197e76132b235d815ee61cbc85c2460f480b10292c0c2960f7117a3d0,187
s1,random,20971,0,0.0002,0.0,0.0,1,0,0.8840303275952506,0.8902439024390244,18667,328,292,116684,1.2798327105687155,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,46669012aabaa3f04b1a2b07a899ef593153bbffcc4838bc92a2ec9b839319e7,36
s1,random,20971,1,0.0002,0.0,0.0,1,0,0.868771160173573,0.8689024390243902,18219,328,285,116684,1.249117274005005,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,e1fe3c514f7f79edb5df162cb308150363fc82d5864ff3e170f25094b3f78050,43
s1,random,20971,2,0.0002,0.0,0.0,1,0,0.9084449954699346,0.9085365853658537,19051,328,298,116684,1.3061602276233246,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,b5f8dceedd7d0df872506e05b272b9f8cd7a64982b2797527ce8fcadb935a00f,30
s1,random,20971,3,0.0002,0.0,0.0,1,0,0.868771160173573,0.8689024390243902,18219,328,285,116684,1.249117274005005,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,aab692fe27863ddd67cb3d8203a58d23da6a01d61cf1fdc2f37d7b6a29a1d721,43
s1,random,20971,0,0.0002,0.0001,0.0001,1,0,0.7843212054742263,0.7926829268292683,16640,328,260,116684,1.1408590723663912,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,90ffbee80eb3eb8391be14fd28f43b96dde93ff7faded306a9a896d844d94ad5,68
s1,random,20971,1,0.0002,0.0001,0.0001,1,0,0.8260454913928759,0.8262195121951219,17323,328,271,116684,1.1876864008775838,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,8f7c175f8ecd2698e016145fed5ea18668616456494ddddf2b96685525f975aa,57
s1,random,20971,2,0.0002,0.0001,0.0001,1,0,0.8474560106814172,0.850609756097561,17835,328,279,116684,1.222789756950396,1.3910161651804873,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,b51e1a5967dcbee806956dd08e2ade3821bf07c80a378861d03ebf8bae173bd1,48
