scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s1,random,20971,0,0.0,0.0,0.0,1,0,0.9084449954699346,0.9085365853658537,19051,164,149,100284,1.5197638706074748,1.1955080825902438,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,023390f87ce09803a6d835004b27bdd78a325ff4357195d8b45b44c15c17fc64,15
s1,random,20971,1,0.0,0.0,0.0,1,0,0.8779266606265795,0.8780487804878049,18411,164,144,100284,1.4687088668182362,1.1955080825902438,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,ae9b76dd02664ca01962fe8799b44c4e431f2f0844082055f9e68070928f4d5b,20
s1,random,20971,2,0.0,0.0,0.0,1,0,0.9389633303132898,0.9390243902439024,19691,164,154,100284,1.5708188743967133,1.1955080825902438,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,468d55eaef96125627a1af7df1e622c2af905d2fbeb19a0174e1e100a15e63ca,10
s1,random,20971,3,0.0,0.0,0.0,1,0,0.9206523294072767,0.9207317073170732,19307,164,151,100284,1.5401858721231703,1.1955080825902438,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,fb48a3c077941caa03a8f46f2103c121d82144b1936a88b987c0470615e49b05,13
s1,random,20971,0,0.0,0.0001,0.0001,1,0,0.8352009918458824,0.8353658536585366,17515,164,137,100284,1.3972318615133021,1.1955080825902438,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,550c2b2689d3897fa4726274b57d62ca9cde207ff246456ed1fcbb6999b5e958,27
s1,random,20971,1,0.0,0.0001,0.0001,1,0,0.8290973248772114,0.8292682926829268,17387,164,136,100284,1.3870208607554546,1.1955080825902438,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,a8c5a04cb3c26982af9cefbb0778de992f38a963c1eab34e01ed2000984d1eba,28
s1,random,20971,2,0.0,0.0001,0.0001,1,0,0.7629583710838778,0.7682926829268293,16128,164,126,100284,1.2865860954888118,1.1955080825902438,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,a7f7ce745cc82d8162b666e047b3179bf07778e0ebc51e2154e8ee95a122a78d,37
s1,random,20971,3,0.0,0.0001,0.0001,1,0,0.7680606551905012,0.7682926829268293,16107,164,126,100284,1.2849108531769773,1.1955080825902438,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,c5627bb64ccb6d138e03a1c62b29820bd15ef5ac7305405c9111c6f4f20f5c16,38
s1,random,20971,0,0.0,0.00025,0.00025,1,0,0.7263363692718516,0.725609756097561,15232,164,119,100284,1.2151090901838777,1.1955080825902438,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,b43ca352ab0d35239ac231a5de3791ac80db665f2ff849c15b0072826c83b534,45
s1,random,20971,1,0.0,0.00025,0.00025,1,0,0.6704019836917648,0.6707317073170732,14059,164,110,100284,1.1215348410514139,1.1955080825902438,754e50acb0e460cd96a1b7ab4d347ed6bbe1f0ae3c3111c551285c1371d4abd1,980c296369cad8fb64e9a95b1206e2c9e94ed5775a28a7ca48b6ea82794b9f9c,54
