scheme,p_sub,p_indel,trial,seed
s1,0.0,0.0,0,77542572
s1,0.0,0.0,1,3892564350
s1,0.0,0.007143,0,352232868
s1,0.0,0.007143,1,4266593533
s1,0.0,0.014286,0,2384521764
s1,0.0,0.014286,1,2003915133
s1,0.0,0.021429,0,2758550947
s1,0.0,0.021429,1,230460668
s1,0.0,0.028571,0,4267633934
s1,0.0,0.028571,1,3887027303
s1,0.0,0.035714,0,1589471541
s1,0.0,0.035714,1,1208864910
s1,0.0,0.042857,0,2378984717
s1,0.0,0.042857,1,1998378086
s1,0.0,0.05,0,995367109
s1,0.0,0.05,1,614760478
s1,0.007143,0.0,0,3046490613
s1,0.007143,0.0,1,2665883982
s1,0.007143,0.007143,0,4225840646
s1,0.007143,0.007143,1,3845234015
s1,0.007143,0.014286,0,1157841396
s1,0.007143,0.014286,1,2825379526
s1,0.007143,0.021429,0,2337191429
s1,0.007143,0.021429,1,1857245911
s1,0.007143,0.028571,0,3040953566
s1,0.007143,0.028571,1,413524400
s1,0.007143,0.035714,0,1657335958
s1,0.007143,0.035714,1,3324874088
s1,0.007143,0.042857,0,1957625199
s1,0.007143,0.042857,1,1477679681
s1,0.007143,0.05,0,1816831502
s1,0.007143,0.05,1,3583708519
s1,0.014286,0.0,0,2864696158
s1,0.014286,0.0,1,237266992
s1,0.014286,0.007143,0,4044046191
s1,0.014286,0.007143,1,1416617025
s1,0.014286,0.014286,0,3024191702
s1,0.014286,0.014286,1,2643585071
s1,0.014286,0.021429,0,2056058087
s1,0.014286,0.021429,1,1675451456
s1,0.014286,0.028571,0,3664479961
s1,0.014286,0.028571,1,1037050795
s1,0.014286,0.035714,0,3523686264
s1,0.014286,0.035714,1,3143079633
s1,0.014286,0.042857,0,3823975505
s1,0.014286,0.042857,1,1295885226
s1,0.014286,0.05,0,3782520695
s1,0.014286,0.05,1,3401914064
s1,0.021429,0.0,0,3907642365
s1,0.021429,0.0,1,3527035734
s1,0.021429,0.007143,0,2134187900
s1,0.021429,0.007143,1,1753581269
s1,0.021429,0.014286,0,4166476796
s1,0.021429,0.014286,1,3785870165
s1,0.021429,0.021429,0,1050859533
s1,0.021429,0.021429,1,670252902
s1,0.021429,0.028571,0,1754621670
s1,0.021429,0.028571,1,1374015039
s1,0.021429,0.035714,0,2518487710
s1,0.021429,0.035714,1,4285364727
s1,0.021429,0.042857,0,4160939749
s1,0.021429,0.042857,1,1533510583
s1,0.021429,0.05,0,2777322141
s1,0.021429,0.05,1,149892975
s1,0.028571,0.0,0,4206195770
s1,0.028571,0.0,1,3825589139
s1,0.028571,0.007143,0,1090578507
s1,0.028571,0.007143,1,709971876
s1,0.028571,0.014286,0,2317546553
s1,0.028571,0.014286,1,3985084683
s1,0.028571,0.021429,0,1349412938
s1,0.028571,0.021429,1,3016951068
s1,0.028571,0.028571,0,711012277
s1,0.028571,0.028571,1,330405646
s1,0.028571,0.035714,0,2817041115
s1,0.028571,0.035714,1,189611949
s1,0.028571,0.042857,0,3117330356
s1,0.028571,0.042857,1,2637384838
s1,0.028571,0.05,0,829053011
s1,0.028571,0.05,1,448446380
s1,0.035714,0.0,0,3465145178
s1,0.035714,0.0,1,3084538547
s1,0.035714,0.007143,0,397145928
s1,0.035714,0.007143,1,2064684058
s1,0.035714,0.014286,0,1576495961
s1,0.035714,0.014286,1,1195889330
s1,0.035714,0.021429,0,3608784857
s1,0.035714,0.021429,1,981355691
s1,0.035714,0.028571,0,2165063346
s1,0.035714,0.028571,1,1685117828
s1,0.035714,0.035714,0,781445738
s1,0.035714,0.035714,1,301500220
s1,0.035714,0.042857,0,177075242
s1,0.035714,0.042857,1,4091435907
s1,0.035714,0.05,0,3088424930
s1,0.035714,0.05,1,2707818299
s1,0.042857,0.0,0,503280399
s1,0.042857,0.0,1,2270157416
s1,0.042857,0.007143,0,1730248445
s1,0.042857,0.007143,1,3497125462
s1,0.042857,0.014286,0,762114830
s1,0.042857,0.014286,1,381508199
s1,0.042857,0.021429,0,1989082876
s1,0.042857,0.021429,1,3656621006
s1,0.042857,0.028571,0,1350682215
s1,0.042857,0.028571,1,3117559232
s1,0.042857,0.035714,0,4262031903
s1,0.042857,0.035714,1,1634602737
s1,0.042857,0.042857,0,1609516646
s1,0.042857,0.042857,1,3277054776
s1,0.042857,0.05,0,2274043799
s1,0.042857,0.05,1,1893437168
s1,0.05,0.0,0,3281411017
s1,0.05,0.0,1,753320738
s1,0.05,0.007143,0,213411767
s1,0.05,0.007143,1,4028433545
s1,0.05,0.014286,0,3540245448
s1,0.05,0.014286,1,912816282
s1,0.05,0.021429,0,3425050696
s1,0.05,0.021429,1,2945105178
s1,0.05,0.028571,0,4128812833
s1,0.05,0.028571,1,1501383667
s1,0.05,0.035714,0,2745195225
s1,0.05,0.035714,1,117766059
s1,0.05,0.042857,0,2140824729
s1,0.05,0.042857,1,1760218098
s1,0.05,0.05,0,2904690769
s1,0.05,0.05,1,376600490
s2,0.0,0.0,0,2517865458
s2,0.0,0.0,1,2137258827
s2,0.0,0.007143,0,3697215491
s2,0.0,0.007143,1,1169125212
s2,0.0,0.014286,0,1434537091
s2,0.0,0.014286,1,3102075221
s2,0.0,0.021429,0,3956049922
s2,0.0,0.021429,1,1328620756
s2,0.0,0.028571,0,3317649261
s2,0.0,0.028571,1,2937042630
s2,0.0,0.035714,0,4029794427
s2,0.0,0.035714,1,3649187796
s2,0.0,0.042857,0,3576483692
s2,0.0,0.042857,1,949054526
s2,0.0,0.05,0,4241010845
s2,0.0,0.05,1,3860404214
s2,0.007143,0.0,0,2919910039
s2,0.007143,0.0,1,292480873
s2,0.007143,0.007143,0,4099260072
s2,0.007143,0.007143,1,1471830906
s2,0.007143,0.014286,0,3131126457
s2,0.007143,0.014286,1,503697291
s2,0.007143,0.021429,0,2111271968
s2,0.007143,0.021429,1,1730665337
s2,0.007143,0.028571,0,3719693842
s2,0.007143,0.028571,1,1092264676
s2,0.007143,0.035714,0,3578900145
s2,0.007143,0.035714,1,3198293514
s2,0.007143,0.042857,0,3879189386
s2,0.007143,0.042857,1,1351099107
s2,0.007143,0.05,0,2495571778
s2,0.007143,0.05,1,2114965147
s2,0.014286,0.0,0,3962856246
s2,0.014286,0.0,1,3582249615
s2,0.014286,0.007143,0,847238983
s2,0.014286,0.007143,1,2614116000
s2,0.014286,0.014286,0,4221690677
s2,0.014286,0.014286,1,1594261511
s2,0.014286,0.021429,0,1106073414
s2,0.014286,0.021429,1,2773611544
s2,0.014286,0.028571,0,1809835551
s2,0.014286,0.028571,1,1429228920
s2,0.014286,0.035714,0,2573701591
s2,0.014286,0.035714,1,2093756073
s2,0.014286,0.042857,0,726507184
s2,0.014286,0.042857,1,2394045314
